rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance,mu_config,moment_config
0,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0630444517560852,0.019633285854213638,0.003974602897225354,0.20244206327655218,0.025747569917515607,0.11221697230123093,0.0006629373566573546,0.00590763895213454,0.31462117529222233,0.01887300592036134,0.0989864839422593,5.244871132873788,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06235986779726453,0.01916751187281137,0.00388875311169231,0.20288252004207222,0.029028797788501436,0.14181726009016948,0.0008426711010457058,0.005941950228836202,0.637704925762205,0.07771558993228278,0.4066675723413795,5.232766973727252,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
2,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.1028349044427723,0.052681913462453746,0.01057501757175411,0.20073336135163153,0.03791917274333648,0.24694908877559338,0.0014378636615389922,0.005822510496670033,0.7986876334806718,0.12096112307355435,0.6379019358749559,5.273611220417149,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0614149848579591,0.018986121177305356,0.003771800365103345,0.19866092341240738,0.023928855754534784,0.09966644748929254,0.0005725901377213325,0.005745064183037602,0.3290499344829842,0.02043285749421971,0.10827385938325619,5.299007219811815,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
4,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06437992968315744,0.020559641451772782,0.0041447753460082965,0.20159764729996826,0.026594843854610417,0.12139585889495381,0.0007072857196511095,0.005826275509637751,1.0592756058033856,0.21270298097112172,1.1220648090501297,5.2752660255498265,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
5,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.07752911836209961,0.030020031271085712,0.00601076419400445,0.2002251143486921,0.027036479196799405,0.12654230511948517,0.0007309712073589671,0.005776496695462924,0.7411472935855131,0.10381168437242198,0.5492993107891309,5.291305252485187,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
6,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0651115101387949,0.021273676912391366,0.004239508752554391,0.1992842502033575,0.023638069228348397,0.09647633663463084,0.0005587583168441913,0.005791661834759397,0.3753681725786164,0.026679587186064762,0.14090126498500993,5.28123857398383,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
7,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.08295056637160006,0.034401606993205484,0.006880796461369226,0.20001380931792584,0.03245950595402523,0.18203419000425797,0.0010536195267793996,0.00578803095591413,0.5276054881362358,0.05266580295807801,0.27836755111147565,5.285546511710004,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
8,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.058191326946581946,0.01713054566606272,0.003386230531803994,0.19767207640749276,0.02825144096675237,0.13837290163609617,0.000798143916697894,0.005768065186613742,0.6321098818223767,0.07559946792366186,0.399562902697499,5.285260778567463,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
9,200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.06670722386648167,0.022011118595043653,0.004449853715972902,0.20216390624395147,0.026576948194990093,0.11840591313896909,0.0007063341753591872,0.005965362342421077,1.397545418388791,0.3740954933077625,1.953133196459501,5.220948210816025,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
