N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance,moment_config
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.025747569917515607,0.11221697230123093,0.0006629373566573546,0.00590763895213454,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.029028797788501436,0.14181726009016948,0.0008426711010457058,0.005941950228836202,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03791917274333648,0.24694908877559338,0.0014378636615389922,0.005822510496670033,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.023928855754534784,0.09966644748929254,0.0005725901377213325,0.005745064183037602,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.026594843854610417,0.12139585889495381,0.0007072857196511095,0.005826275509637751,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.027036479196799405,0.12654230511948517,0.0007309712073589671,0.005776496695462924,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.023638069228348397,0.09647633663463084,0.0005587583168441913,0.005791661834759397,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03245950595402523,0.18203419000425797,0.0010536195267793996,0.00578803095591413,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.02825144096675237,0.13837290163609617,0.000798143916697894,0.005768065186613742,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.026576948194990093,0.11840591313896909,0.0007063341753591872,0.005965362342421077,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
