rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance
0,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02645484069467528,0.0034570809289993453,0.0006998585961806472,0.20244206327655218,0.012241622264400287,0.02536670180396088,0.0001498573156642608,0.00590763895213454,0.15881942781618105,0.004809195500297932,0.02522361065185914,5.244871132873788
1,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03464055647704912,0.005914596056825348,0.0011999681530396298,0.20288252004207222,0.01624496827957777,0.04441285844566481,0.0002638989944044879,0.005941950228836202,0.2778142599384182,0.014749512717199374,0.077180763025131,5.232766973727252
2,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.057845625153780986,0.01666945806566868,0.0033461163494317397,0.20073336135163153,0.024039929685977533,0.0992558484243631,0.0005779182193067438,0.005822510496670033,0.33267761450822464,0.020986453223248498,0.11067439519488292,5.273611220417149
3,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02174694797446735,0.002380587677136774,0.0004729297462041895,0.19866092341240738,0.014583731764343837,0.03702051454921742,0.0002126852321743314,0.005745064183037602,0.1346917823837451,0.0034236368227394914,0.01814187624171015,5.299007219811815
4,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02425461097536779,0.002918120134066288,0.0005882861535664316,0.20159764729996826,0.014590395423173842,0.03653785995056866,0.00021287963860457218,0.005826275509637751,0.26043132390097345,0.01285707187852097,0.06782447446881376,5.2752660255498265
5,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.022965886596490306,0.0026341947606249344,0.0005274319471628531,0.2002251143486921,0.012529942745157317,0.02717901064848418,0.0001569994651969205,0.005776496695462924,0.1768126695240122,0.005908319141014266,0.03126272010420755,5.291305252485187
6,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04183624404360637,0.008782787971905173,0.0017502713156761893,0.1992842502033575,0.00898103804250177,0.013926753084370098,8.065904432086401e-05,0.005791661834759397,0.06722102798016708,0.0008556073616840625,0.004518666602710405,5.28123857398383
7,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04353789301101277,0.009477086278704805,0.0018955481278383943,0.20001380931792584,0.020140010188236374,0.07007910176565453,0.000405620010382265,0.00578803095591413,0.213067876950128,0.008589068337107026,0.04539792018803489,5.285546511710004
8,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03090314027811973,0.004831254350161451,0.0009550040790491461,0.19767207640749276,0.01773400169777716,0.05452345041915064,0.00031449481621676325,0.005768065186613742,0.2963912400998615,0.01662127393300437,0.08784776720793376,5.285260778567463
9,200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04615197482405137,0.010536029006036278,0.002130004780159871,0.20216390624395147,0.022477559390129825,0.08469572293101622,0.0005052406761368134,0.005965362342421077,0.14985270302001047,0.004301102346865389,0.02245583260240346,5.220948210816025
