N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02645484069467528,0.0034570809289993453,0.0006998585961806472,0.20244206327655218
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03464055647704912,0.005914596056825348,0.0011999681530396298,0.20288252004207222
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.057845625153780986,0.01666945806566868,0.0033461163494317397,0.20073336135163153
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02174694797446735,0.002380587677136774,0.0004729297462041895,0.19866092341240738
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02425461097536779,0.002918120134066288,0.0005882861535664316,0.20159764729996826
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.022965886596490306,0.0026341947606249344,0.0005274319471628531,0.2002251143486921
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04183624404360637,0.008782787971905173,0.0017502713156761893,0.1992842502033575
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04353789301101277,0.009477086278704805,0.0018955481278383943,0.20001380931792584
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03090314027811973,0.004831254350161451,0.0009550040790491461,0.19767207640749276
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04615197482405137,0.010536029006036278,0.002130004780159871,0.20216390624395147
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.027417529584516848,0.003678557952109446,0.0007517209285178567,0.2043520690184552
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04037431338334745,0.008111669327264148,0.0016300851811767495,0.20095557590074178
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.048085317939186446,0.011459555558315751,0.002312197801312646,0.2017702859021242
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.026295589181541196,0.0034282129529763236,0.0006914580104043864,0.20169634147262433
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.033729102585219335,0.0056740680842459635,0.0011376523612042497,0.20050030142622693
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.019424268464107983,0.0019022477503656582,0.00037730220536573986,0.19834546015008467
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04552855217968676,0.01022743715591985,0.00207284906357846,0.2026753165995894
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03261709688031149,0.0051734208326009255,0.0010638750088996253,0.20564246430437103
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.027392749834207728,0.003743741019665217,0.0007503627434794875,0.20043126368463074
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01790299392468789,0.0016018902089180369,0.0003205171914674115,0.20008686593065458
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.024572567535034038,0.003004001083982088,0.0006038110752638087,0.20100228274997825
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.04433292651515621,0.009892823565153223,0.0019654083733982404,0.1986701127796571
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02395535071085691,0.002867943089112119,0.0005738588276801526,0.20009421730115728
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.016293980422081567,0.0013090931244480082,0.00026549379799517737,0.20280741914913455
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.029516124849385088,0.004330174698729973,0.0008712016261244879,0.20119318197023522
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03107339421164344,0.004779076620076661,0.000965555827832196,0.20203815602703343
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.020758503770293726,0.0021222640009299592,0.00043091547878129887,0.20304518127456112
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.025903863906647416,0.0033104278334556503,0.0006710101652941107,0.20269590489567163
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.030465614004395663,0.004618778212867085,0.0009281536366648291,0.20095219858774774
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02288039357811719,0.0025791271062322917,0.0005235124102895463,0.20298046149975038
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02079219852686197,0.0021463045943859098,0.0004323155195804411,0.2014231906837683
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.03055387183887339,0.004655605317380927,0.0009335390843463005,0.20051937840630257
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.022949097533765596,0.0025900700682803504,0.0005266610776142861,0.20333854441395754
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012372474088804762,0.0007558068886797898,0.00015307811507814521,0.20253601464989995
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.015663228261814235,0.0012121453451932752,0.0002453367195816962,0.20239876393913597
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.044748918922939446,0.009935323893497246,0.002002465744771808,0.20155012219404733
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.020800039709203976,0.002130188896138606,0.0004326416519044622,0.20310013477617497
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.033060903619200784,0.005450956163137353,0.0010930233481180837,0.20051956306487392
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.021314344332333285,0.002263853111018304,0.00045430127431726796,0.20067612695636364
400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.022580121871372923,0.002509608563324535,0.0005098619037260539,0.2031639161489903
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02062700492084568,0.0021203143566890115,0.0004254733320045918,0.20066521299652565
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012204424558333097,0.0007385861083055109,0.00014894797880004402,0.20166636919527975
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010138024008403433,0.000509423672166206,0.00010277953079496442,0.20175648759689221
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01450948552051252,0.0010526096405361835,0.00021052517006996246,0.2000030799287798
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013954532310226496,0.0009647176317518363,0.0001947289719971552,0.20185074428830097
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.022014227621613053,0.0024162570853864043,0.00048462621777619117,0.20056897947955338
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.019387975003030192,0.0018596363176313008,0.00037589357471812365,0.20213284240270998
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010598446689483386,0.0005594165553011175,0.00011232707222982136,0.20079325712725646
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01455722638756445,0.001051291606307034,0.00021191284009880273,0.20157379629730696
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.018164794598467128,0.0016464930313965038,0.0003299597628045005,0.20040155440235236
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007874585534615982,0.00030579678468849273,6.200909734198326e-05,0.20277877481658393
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010721962686475761,0.000576745077162344,0.00011496048385017853,0.19932633741027855
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.015268548102653517,0.0011570884191451352,0.00023312856116304432,0.2014786055289373
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02223593441417654,0.0024576857140605336,0.0004944367792715606,0.20117982394692085
