N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.15881942781618105,0.004809195500297932,0.02522361065185914,5.244871132873788
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.2778142599384182,0.014749512717199374,0.077180763025131,5.232766973727252
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.33267761450822464,0.020986453223248498,0.11067439519488292,5.273611220417149
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.1346917823837451,0.0034236368227394914,0.01814187624171015,5.299007219811815
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.26043132390097345,0.01285707187852097,0.06782447446881376,5.2752660255498265
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.1768126695240122,0.005908319141014266,0.03126272010420755,5.291305252485187
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.06722102798016708,0.0008556073616840625,0.004518666602710405,5.28123857398383
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.213067876950128,0.008589068337107026,0.04539792018803489,5.285546511710004
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.2963912400998615,0.01662127393300437,0.08784776720793376,5.285260778567463
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.14985270302001047,0.004301102346865389,0.02245583260240346,5.220948210816025
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.1428940012407092,0.003913515317618434,0.020418695590579804,5.217481965294971
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.11035675192155671,0.0023129613770069887,0.012178612694676011,5.265376592857484
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.2544705521620389,0.012307687319665203,0.06475526191765295,5.261367163121466
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.18213175860170283,0.006315273975881773,0.03317197749134895,5.252658493999431
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.222421364968344,0.009370566806610867,0.04947126359438128,5.279431288988801
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.16223119452537632,0.005006640204471252,0.026318960477130494,5.256810835663
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.36767791981019493,0.02573400069039006,0.13518705271595213,5.253246642152905
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.16774553680415838,0.005364040089818799,0.02813856511771525,5.245778302649821
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.1726006818425466,0.005643372390059459,0.029790995372511998,5.278934883862611
200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.29406659446342326,0.016434881453329397,0.08647516197931544,5.261684559446409
