rep,N,M,assumption,option,experiment,method,dgp_name,tau_rmse,tau_nmse,tau_mse,tau_variance
0,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.23728467316744975,0.010696816713946953,0.05630401612018345,5.263623527060339
0,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.507225256371527,0.4315901321143581,2.2717279734442153,5.263623527060339
0,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.23728467316744975,0.010696816713946953,0.05630401612018345,5.263623527060339
0,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.2245947742760819,0.2849049430443996,1.4996323611842877,5.263623527060339
0,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.2338834282121309,0.010392357605181727,0.054701457992258985,5.263623527060339
0,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.9161522028247313,0.15945951575479878,0.8393348587406076,5.263623527060339
0,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.23727535766651703,0.010695976843012578,0.05629959535577358,5.263623527060339
0,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.7667361055803059,0.11168812749964646,0.587884255600454,5.263623527060339
0,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.17962832030523632,0.006130061029212868,0.03226633345568057,5.263623527060339
0,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.3304292696229585,0.020743030283653142,0.10918350222356178,5.263623527060339
0,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.17962832030523632,0.006130061029212868,0.03226633345568057,5.263623527060339
0,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.36528038005431795,0.025349410984023327,0.13342975605262697,5.263623527060339
0,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.17962832030523632,0.006130061029212868,0.03226633345568057,5.263623527060339
0,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.24456015093023592,0.011362831539060059,0.05980966742301977,5.263623527060339
0,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.17962832030523632,0.006130061029212868,0.03226633345568057,5.263623527060339
0,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.204411749918593,0.007938288764378498,0.04178416350478141,5.263623527060339
1,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.30244027368536225,0.017360503244478877,0.0914701191468768,5.268863342194118
1,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.7119803995017258,0.5562635995523051,2.930876888278089,5.268863342194118
1,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.30244027368536225,0.017360503244478877,0.0914701191468768,5.268863342194118
1,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.1787016728226924,0.2636883030138432,1.3893376335150134,5.268863342194118
1,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.2902209700104567,0.01598603075530427,0.08422821143381042,5.268863342194118
1,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.825648460527063,0.12938186779519506,0.681695380370709,5.268863342194118
1,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.3761730789711991,0.026857061220294326,0.141506185342672,5.268863342194118
