method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,lagged,power,0.145,,0.45732534930139723
DM,0,2,lagged,power,0.135,,0.4423253493013972
DM,0,3,lagged,power,0.165,,0.45332335329341317
DM,0,4,lagged,power,0.13,,0.46311377245508983
DM,0,5,lagged,power,0.125,,0.4788423153692614
DM,1,1,lagged,power,0.09,,0.47496007984031935
DM,1,2,lagged,power,0.14,,0.4548003992015968
DM,1,3,lagged,power,0.125,,0.4327744510978044
DM,1,4,lagged,power,0.12,,0.4619560878243513
DM,2,1,lagged,power,0.11,,0.47508982035928143
DM,2,2,lagged,power,0.13,,0.45636726546906187
DM,2,3,lagged,power,0.125,,0.45147704590818366
DM,3,1,lagged,power,0.135,,0.4825449101796407
DM,3,2,lagged,power,0.125,,0.4670558882235529
DM,4,1,lagged,power,0.115,,0.4784830339321357
Oracle,0,1,lagged,power,0.9,,0.027914171656686627
Oracle,0,2,lagged,power,0.995,,0.004550898203592814
Oracle,0,3,lagged,power,0.995,,0.006676646706586826
Oracle,0,4,lagged,power,0.985,,0.013782435129740518
Oracle,0,5,lagged,power,0.86,,0.05336327345309381
Oracle,1,1,lagged,power,0.9,,0.03312375249500998
Oracle,1,2,lagged,power,0.995,,0.007644710578842315
Oracle,1,3,lagged,power,0.975,,0.013652694610778442
Oracle,1,4,lagged,power,0.81,,0.06710578842315369
Oracle,2,1,lagged,power,0.88,,0.03998003992015968
Oracle,2,2,lagged,power,0.97,,0.01597804391217565
Oracle,2,3,lagged,power,0.765,,0.08587824351297405
Oracle,3,1,lagged,power,0.79,,0.0632934131736527
Oracle,3,2,lagged,power,0.755,,0.0858383233532934
Oracle,4,1,lagged,power,0.53,,0.13679640718562874
RC,0,1,lagged,power,0.53,0.8283436706302026,0.23842315369261477
RC,0,2,lagged,power,0.325,0.8365716902743057,0.33395209580838325
RC,0,3,lagged,power,0.22,0.8168562727096735,0.3777045908183633
RC,0,4,lagged,power,0.235,0.8113831767259788,0.3598403193612774
RC,0,5,lagged,power,0.19,0.799314907004786,0.3849600798403193
RC,1,1,lagged,power,0.54,0.7876634326583754,0.1970359281437126
RC,1,2,lagged,power,0.265,0.8317987913861663,0.36875249500998003
RC,1,3,lagged,power,0.16,0.7913572334688374,0.40828343313373255
RC,1,4,lagged,power,0.305,0.7668347019886578,0.348562874251497
RC,2,1,lagged,power,0.34,0.8131518439204473,0.260688622754491
RC,2,2,lagged,power,0.165,0.8976637330618913,0.4099301397205589
RC,2,3,lagged,power,0.265,0.8475453507800598,0.3619860279441118
RC,3,1,lagged,power,0.26,0.7652463739134945,0.32219560878243514
RC,3,2,lagged,power,0.26,0.8361296020602296,0.3472654690618762
RC,4,1,lagged,power,0.255,0.6958572755195948,0.342435129740519
SS,0,1,lagged,power,0.26,0.7871451800334599,0.40368263473053895
SS,0,2,lagged,power,0.245,0.7890747428807365,0.44415169660678644
SS,0,3,lagged,power,0.18,0.7831908341392376,0.46519960079840317
SS,0,4,lagged,power,0.205,0.7818899916255048,0.43275449101796404
SS,0,5,lagged,power,0.155,0.7673573253390447,0.4632335329341317
SS,1,1,lagged,power,0.155,0.7894586203384846,0.47032934131736526
SS,1,2,lagged,power,0.175,0.7946978385805953,0.43299401197604787
SS,1,3,lagged,power,0.19,0.7809779896247971,0.4208782435129741
SS,1,4,lagged,power,0.135,0.7929794988872702,0.4693512974051896
SS,2,1,lagged,power,0.12,0.8482313425879627,0.45259481037924154
SS,2,2,lagged,power,0.11,0.852503031101039,0.456437125748503
SS,2,3,lagged,power,0.135,0.8395642526119964,0.4606487025948104
SS,3,1,lagged,power,0.135,1.0298944929179377,0.46104790419161673
SS,3,2,lagged,power,0.125,1.0423489201997047,0.49122754491017967
SS,4,1,lagged,power,0.095,1.6432724637542961,0.49962075848303394
cDM,0,1,lagged,power,0.18,,0.4028243512974052
cDM,0,2,lagged,power,0.175,,0.3839421157684631
cDM,0,3,lagged,power,0.135,,0.46206586826347307
cDM,0,4,lagged,power,0.135,,0.44787425149700594
cDM,0,5,lagged,power,0.125,,0.45541916167664676
cDM,1,1,lagged,power,0.165,,0.43393213572854294
cDM,1,2,lagged,power,0.145,,0.43141716566866267
cDM,1,3,lagged,power,0.125,,0.43110778443113773
cDM,1,4,lagged,power,0.155,,0.46491017964071857
cDM,2,1,lagged,power,0.13,,0.45028942115768467
cDM,2,2,lagged,power,0.13,,0.44583832335329343
cDM,2,3,lagged,power,0.15,,0.4642115768463074
cDM,3,1,lagged,power,0.125,,0.47122754491017965
cDM,3,2,lagged,power,0.135,,0.4759680638722555
cDM,4,1,lagged,power,0.14,,0.4786626746506986
