method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,lagged,power,0.075,,0.5183832335329341
DM,2,lagged,power,0.095,,0.49983033932135723
DM,3,lagged,power,0.105,,0.4972355289421158
DM,4,lagged,power,0.16,,0.4355389221556887
DM,5,lagged,power,0.155,,0.4357784431137725
Oracle,1,lagged,power,0.435,,0.18403193612774452
Oracle,2,lagged,power,0.685,,0.10007984031936128
Oracle,3,lagged,power,0.83,,0.0690119760479042
Oracle,4,lagged,power,0.905,,0.036317365269461076
Oracle,5,lagged,power,0.96,,0.021526946107784432
RC,1,lagged,power,0.16,0.5756802902409724,0.4204091816367266
RC,2,lagged,power,0.26,0.602964188658929,0.37303393213572855
RC,3,lagged,power,0.32,0.7062722061483647,0.3511477045908184
RC,4,lagged,power,0.335,0.8223472272946348,0.3010678642714571
RC,5,lagged,power,0.33,0.9793580569318837,0.30525948103792416
SS,1,lagged,power,0.12,1.0045258600915048,0.48922155688622754
SS,2,lagged,power,0.105,0.9379862454995124,0.4904690618762475
SS,3,lagged,power,0.12,0.9860398754231627,0.45305389221556885
SS,4,lagged,power,0.19,1.0536426787137307,0.4405588822355289
SS,5,lagged,power,0.155,1.1873163324897518,0.48899201596806385
cDM,1,lagged,power,0.075,,0.5815768463073853
cDM,2,lagged,power,0.06,,0.5497105788423153
cDM,3,lagged,power,0.13,,0.4623353293413174
cDM,4,lagged,power,0.25,,0.38519960079840315
cDM,5,lagged,power,0.32,,0.331437125748503
