rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.9371308288811729,0,5,0.1862515266254065,0,lagged,power,500,0.1
0,Oracle,,0,5,5.999947267415852e-08,1,lagged,power,500,0.1
0,DM,,0,5,0.9651924879618152,0,lagged,power,500,0.1
0,cDM,,0,5,0.2011658264915989,0,lagged,power,500,0.1
0,SS,1.321908529120266,0,5,0.9602728716636847,0,lagged,power,500,0.1
0,RC,0.9445131122528383,1,4,0.008041453708882956,1,lagged,power,500,0.1
0,Oracle,,1,4,1.6488167014975939e-06,1,lagged,power,500,0.1
0,DM,,1,4,0.9708447045498848,0,lagged,power,500,0.1
0,cDM,,1,4,0.1682410287579901,0,lagged,power,500,0.1
0,SS,1.2677980574873087,1,4,0.8769669208160962,0,lagged,power,500,0.1
0,RC,1.035231908104456,2,3,0.13206852047391984,0,lagged,power,500,0.1
0,Oracle,,2,3,8.724689184977079e-05,1,lagged,power,500,0.1
0,DM,,2,3,0.998897763708753,0,lagged,power,500,0.1
0,cDM,,2,3,0.5950424382434547,0,lagged,power,500,0.1
0,SS,1.2716375969820715,2,3,0.67687395594451,0,lagged,power,500,0.1
0,RC,0.7332991762321013,3,2,0.24190532167127118,0,lagged,power,500,0.1
0,Oracle,,3,2,0.0047661474494627935,1,lagged,power,500,0.1
0,DM,,3,2,0.9771214352310709,0,lagged,power,500,0.1
0,cDM,,3,2,0.264166098566885,0,lagged,power,500,0.1
0,SS,1.3798599761721864,3,2,0.9525371069761837,0,lagged,power,500,0.1
0,RC,1.0518321056157431,4,1,0.6407185628742517,0,lagged,power,500,0.1
0,Oracle,,4,1,0.06387225548902195,1,lagged,power,500,0.1
0,DM,,4,1,0.9540918163672655,0,lagged,power,500,0.1
0,cDM,,4,1,0.3353293413173652,0,lagged,power,500,0.1
0,SS,2.317736721253849,4,1,0.6107784431137726,0,lagged,power,500,0.1
1,RC,0.8992177176064569,0,5,0.011760205307800014,1,lagged,power,500,0.1
1,Oracle,,0,5,2.0671450164381915e-08,1,lagged,power,500,0.1
1,DM,,0,5,0.2474050761884148,0,lagged,power,500,0.1
1,cDM,,0,5,0.6133450636515212,0,lagged,power,500,0.1
1,SS,0.8591492035228283,0,5,0.11630064891153409,0,lagged,power,500,0.1
1,RC,0.8256571488116535,1,4,0.04995228902912404,1,lagged,power,500,0.1
1,Oracle,,1,4,2.5599233364999678e-06,1,lagged,power,500,0.1
1,DM,,1,4,0.17002476055666335,0,lagged,power,500,0.1
1,cDM,,1,4,0.42294955810366586,0,lagged,power,500,0.1
1,SS,0.7475982758136231,1,4,0.9835719166252828,0,lagged,power,500,0.1
1,RC,0.727337440108021,2,3,0.4198445403736666,0,lagged,power,500,0.1
1,Oracle,,2,3,1.818449090832123e-05,1,lagged,power,500,0.1
1,DM,,2,3,0.3218402605591971,0,lagged,power,500,0.1
1,cDM,,2,3,0.4861985176441449,0,lagged,power,500,0.1
1,SS,0.8083475308153587,2,3,0.5521310863354052,0,lagged,power,500,0.1
1,RC,0.6942348726208295,3,2,0.18676682072617357,0,lagged,power,500,0.1
1,Oracle,,3,2,0.019099335576819913,1,lagged,power,500,0.1
1,DM,,3,2,0.1735487019322866,0,lagged,power,500,0.1
1,cDM,,3,2,0.2416980440955933,0,lagged,power,500,0.1
1,SS,0.9619008064934582,3,2,0.8146283435175313,0,lagged,power,500,0.1
1,RC,0.6836219468212098,4,1,0.8263473053892215,0,lagged,power,500,0.1
1,Oracle,,4,1,0.17964071856287425,0,lagged,power,500,0.1
1,DM,,4,1,0.13772455089820362,0,lagged,power,500,0.1
1,cDM,,4,1,0.6247504990019959,0,lagged,power,500,0.1
1,SS,1.2773036492087073,4,1,0.7145708582834331,0,lagged,power,500,0.1
2,RC,0.7720916266076527,0,5,0.003781147004903724,1,lagged,power,500,0.1
2,Oracle,,0,5,1.985830621580207e-08,1,lagged,power,500,0.1
2,DM,,0,5,0.10723658948135532,0,lagged,power,500,0.1
2,cDM,,0,5,0.26019990593305303,0,lagged,power,500,0.1
2,SS,0.933506221787804,0,5,0.7795324177132714,0,lagged,power,500,0.1
2,RC,0.7142523231369902,1,4,0.06811047109698534,1,lagged,power,500,0.1
2,Oracle,,1,4,4.3757520585552445e-07,1,lagged,power,500,0.1
2,DM,,1,4,0.14030610290661089,0,lagged,power,500,0.1
2,cDM,,1,4,0.5027830244319362,0,lagged,power,500,0.1
2,SS,0.8852139997963657,1,4,0.2131896102274917,0,lagged,power,500,0.1
2,RC,0.7551561408134083,2,3,0.02519007364653911,1,lagged,power,500,0.1
2,Oracle,,2,3,2.5032014136387912e-05,1,lagged,power,500,0.1
2,DM,,2,3,0.2080054076998759,0,lagged,power,500,0.1
2,cDM,,2,3,0.6638548634228651,0,lagged,power,500,0.1
2,SS,0.9770247506589262,2,3,0.7300049346632245,0,lagged,power,500,0.1
2,RC,0.7286103992973585,3,2,0.04570071195689471,1,lagged,power,500,0.1
2,Oracle,,3,2,0.000793967718204559,1,lagged,power,500,0.1
2,DM,,3,2,0.23348853865842228,0,lagged,power,500,0.1
2,cDM,,3,2,0.6764856770729626,0,lagged,power,500,0.1
2,SS,1.2099695314545051,3,2,0.8250937269498438,0,lagged,power,500,0.1
2,RC,0.5717058439836468,4,1,0.4371257485029939,0,lagged,power,500,0.1
2,Oracle,,4,1,0.16367265469061876,0,lagged,power,500,0.1
2,DM,,4,1,0.12375249500998003,0,lagged,power,500,0.1
2,cDM,,4,1,0.2714570858283433,0,lagged,power,500,0.1
2,SS,1.7433413714231203,4,1,0.7644710578842315,0,lagged,power,500,0.1
3,RC,0.7110171734998756,0,5,3.2439807774702364e-07,1,lagged,power,500,0.1
3,Oracle,,0,5,1.4071296313922485e-09,1,lagged,power,500,0.1
3,DM,,0,5,0.1102363359627603,0,lagged,power,500,0.1
3,cDM,,0,5,0.02180924780687422,1,lagged,power,500,0.1
3,SS,1.1287674988402088,0,5,0.17293243395737806,0,lagged,power,500,0.1
3,RC,0.652835322234836,1,4,2.226557520499073e-07,1,lagged,power,500,0.1
3,Oracle,,1,4,8.481105579235561e-08,1,lagged,power,500,0.1
3,DM,,1,4,0.211462200844015,0,lagged,power,500,0.1
3,cDM,,1,4,0.05833546708087483,1,lagged,power,500,0.1
3,SS,1.0927754216963632,1,4,0.40467648742552076,0,lagged,power,500,0.1
3,RC,0.5933785844472322,2,3,5.2018941840244815e-05,1,lagged,power,500,0.1
3,Oracle,,2,3,4.117015405593016e-06,1,lagged,power,500,0.1
3,DM,,2,3,0.03727470900040417,1,lagged,power,500,0.1
3,cDM,,2,3,0.010489837980755161,1,lagged,power,500,0.1
3,SS,1.0771715935183774,2,3,0.2750136403052752,0,lagged,power,500,0.1
3,RC,0.5473551022971676,3,2,0.0013773859264457552,1,lagged,power,500,0.1
3,Oracle,,3,2,0.0005234228812976076,1,lagged,power,500,0.1
3,DM,,3,2,0.06326968490257885,1,lagged,power,500,0.1
3,cDM,,3,2,0.04297372985852636,1,lagged,power,500,0.1
3,SS,1.1940734809752738,3,2,0.476653799389424,0,lagged,power,500,0.1
3,RC,0.5933990109133145,4,1,0.001996007984031937,1,lagged,power,500,0.1
3,Oracle,,4,1,0.001996007984031937,1,lagged,power,500,0.1
3,DM,,4,1,0.061876247504990003,1,lagged,power,500,0.1
3,cDM,,4,1,0.25349301397205587,0,lagged,power,500,0.1
3,SS,2.142139753618817,4,1,0.7225548902195608,0,lagged,power,500,0.1
4,RC,0.7872460409350981,0,5,0.019102081731531818,1,lagged,power,500,0.1
4,Oracle,,0,5,1.253181716393973e-07,1,lagged,power,500,0.1
4,DM,,0,5,0.2993347241904292,0,lagged,power,500,0.1
4,cDM,,0,5,0.30465603185851875,0,lagged,power,500,0.1
4,SS,0.8374854791919507,0,5,0.42007499364026124,0,lagged,power,500,0.1
4,RC,0.7251948238582213,1,4,0.004580848195480798,1,lagged,power,500,0.1
4,Oracle,,1,4,3.417184056041032e-06,1,lagged,power,500,0.1
4,DM,,1,4,0.6177015094676703,0,lagged,power,500,0.1
4,cDM,,1,4,0.8127191910394682,0,lagged,power,500,0.1
4,SS,0.8542940706669627,1,4,0.30144934653011524,0,lagged,power,500,0.1
4,RC,0.7161183429058416,2,3,0.4767617117656793,0,lagged,power,500,0.1
4,Oracle,,2,3,0.0006539183541859893,1,lagged,power,500,0.1
4,DM,,2,3,0.608149409527774,0,lagged,power,500,0.1
4,cDM,,2,3,0.7387633177878362,0,lagged,power,500,0.1
4,SS,0.8768151867313727,2,3,0.5298342683963746,0,lagged,power,500,0.1
4,RC,0.6269892573215003,3,2,0.027746405602430194,1,lagged,power,500,0.1
4,Oracle,,3,2,0.01118859962860086,1,lagged,power,500,0.1
4,DM,,3,2,0.4905038803093956,0,lagged,power,500,0.1
