method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.165,,0.42553681319457276
DM,1,lagged,power,0.195,,0.4662453607558012
DM,2,lagged,power,0.17,,0.4864908602147316
DM,3,lagged,power,0.14,,0.49672646027069706
DM,4,lagged,power,0.125,,0.4940918163672655
Oracle,0,lagged,power,1.0,,7.81214869008911e-07
Oracle,1,lagged,power,1.0,,1.979548336362715e-05
Oracle,2,lagged,power,1.0,,0.0006273560035241113
Oracle,3,lagged,power,0.98,,0.012867559289262446
Oracle,4,lagged,power,0.65,,0.11330339321357286
RC,0,lagged,power,0.675,0.7980687139993227,0.16704616801854072
RC,1,lagged,power,0.67,0.7614493163871978,0.16869063420928326
RC,2,lagged,power,0.485,0.7890951122079326,0.24565574802445098
RC,3,lagged,power,0.42,0.7207937470045923,0.2780092812671302
RC,4,lagged,power,0.265,0.6482740299590184,0.350938123752495
SS,0,lagged,power,0.395,0.7665740356091371,0.39493552683507765
SS,1,lagged,power,0.34,0.7715797094085708,0.43361284418546103
SS,2,lagged,power,0.265,0.8143776775989876,0.44351708611214635
SS,3,lagged,power,0.12,0.9961442909483955,0.4631701508174254
SS,4,lagged,power,0.075,1.5882161949361657,0.5161976047904191
cDM,0,lagged,power,0.235,,0.3667051149687673
cDM,1,lagged,power,0.21,,0.4119850161452716
cDM,2,lagged,power,0.125,,0.4460410557417572
cDM,3,lagged,power,0.14,,0.44575503091093616
cDM,4,lagged,power,0.135,,0.4840918163672655
