rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.817096877591316,3.5854006204889073,0.874251497005988,0,lagged,power,500,0.1
0,Oracle,,11.162569674471314,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,0.21591028444765328,0.13972055888223553,0,lagged,power,500,0.1
0,cDM,,0.09734828713000265,0.023952095808383235,1,lagged,power,500,0.1
0,SS,0.7860255396035942,0.2388524746376824,0.3852295409181637,0,lagged,power,500,0.1
1,RC,0.9348239583458549,3.247871194962202,0.013972055888223553,1,lagged,power,500,0.1
1,Oracle,,21.951376794768834,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,0.34101288088048826,0.0658682634730539,1,lagged,power,500,0.1
1,cDM,,0.11029069420001972,0.031936127744510975,1,lagged,power,500,0.1
1,SS,0.7809805256060454,3.758296285558862,0.001996007984031936,1,lagged,power,500,0.1
2,RC,0.7430498399103661,8.540120029362177,0.03592814371257485,1,lagged,power,500,0.1
2,Oracle,,16.139095587685357,0.001996007984031936,1,lagged,power,500,0.1
2,DM,,-0.010847573597405862,0.5708582834331337,0,lagged,power,500,0.1
2,cDM,,-0.026397929227094268,0.6966067864271457,0,lagged,power,500,0.1
2,SS,1.0416121800611653,-5.815922123204745,0.7664670658682635,0,lagged,power,500,0.1
3,RC,0.691631347849316,6.254601302208648,0.003992015968063872,1,lagged,power,500,0.1
3,Oracle,,17.55398564998701,0.001996007984031936,1,lagged,power,500,0.1
3,DM,,-0.23090447374993386,0.8083832335329342,0,lagged,power,500,0.1
3,cDM,,0.029398395212708716,0.2634730538922156,0,lagged,power,500,0.1
3,SS,0.7456704280270072,1.9632370327270785,0.12375249500998003,0,lagged,power,500,0.1
4,RC,0.732528910602198,-1.8599234521126646,0.11976047904191617,0,lagged,power,500,0.1
4,Oracle,,11.757636208148355,0.001996007984031936,1,lagged,power,500,0.1
4,DM,,-0.21564740856911158,0.8303393213572854,0,lagged,power,500,0.1
4,cDM,,-0.05811474142099539,0.8682634730538922,0,lagged,power,500,0.1
4,SS,1.1591590322314302,-5.875880761865146,0.8962075848303394,0,lagged,power,500,0.1
5,RC,0.7551909686326215,5.452895803863624,0.005988023952095809,1,lagged,power,500,0.1
5,Oracle,,19.05000373572822,0.001996007984031936,1,lagged,power,500,0.1
5,DM,,-0.07296385446775507,0.6227544910179641,0,lagged,power,500,0.1
5,cDM,,0.013051827883816388,0.3852295409181637,0,lagged,power,500,0.1
5,SS,0.7417444319978987,9.58162474661313,0.001996007984031936,1,lagged,power,500,0.1
6,RC,0.7097373004118802,-1.9074208485715989,0.42115768463073855,0,lagged,power,500,0.1
6,Oracle,,11.91023195260175,0.001996007984031936,1,lagged,power,500,0.1
6,DM,,-0.15267243047903117,0.7604790419161677,0,lagged,power,500,0.1
6,cDM,,0.031247178899750618,0.3013972055888224,0,lagged,power,500,0.1
6,SS,0.8834145847552962,-2.8240243356718184,0.8283433133732535,0,lagged,power,500,0.1
7,RC,0.8172510753082004,-0.9327379773622873,0.46706586826347307,0,lagged,power,500,0.1
7,Oracle,,19.975496183238658,0.001996007984031936,1,lagged,power,500,0.1
7,DM,,0.4465766359842719,0.03592814371257485,1,lagged,power,500,0.1
7,cDM,,0.024673805957712226,0.3532934131736527,0,lagged,power,500,0.1
7,SS,0.9846758439632561,-1.4132180108254433,0.28542914171656686,0,lagged,power,500,0.1
8,RC,0.6171675289636928,9.088696220905947,0.08982035928143713,1,lagged,power,500,0.1
8,Oracle,,14.88362441674739,0.001996007984031936,1,lagged,power,500,0.1
8,DM,,-0.010175798823770059,0.5169660678642715,0,lagged,power,500,0.1
8,cDM,,0.0639316569886682,0.13373253493013973,0,lagged,power,500,0.1
