method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,lagged,power,0.14,,0.4388622754491018
DM,1,lagged,power,0.145,,0.4641916167664671
DM,2,lagged,power,0.175,,0.48097804391217563
DM,3,lagged,power,0.14,,0.49061876247504993
DM,4,lagged,power,0.115,,0.5045109780439122
Oracle,0,lagged,power,1.0,,0.001996007984031936
Oracle,1,lagged,power,1.0,,0.001996007984031936
Oracle,2,lagged,power,1.0,,0.001996007984031936
Oracle,3,lagged,power,0.995,,0.006197604790419161
Oracle,4,lagged,power,0.765,,0.07917165668662675
RC,0,lagged,power,0.685,0.7694095452355377,0.1664670658682635
RC,1,lagged,power,0.615,0.7408665321274818,0.1744111776447106
RC,2,lagged,power,0.56,0.7839964702163195,0.1965868263473054
RC,3,lagged,power,0.525,0.7031095986754583,0.22098802395209582
RC,4,lagged,power,0.305,0.6169442846830452,0.2918263473053892
SS,0,lagged,power,0.57,0.696519131128284,0.346437125748503
SS,1,lagged,power,0.535,0.7090633090702491,0.36154690618762475
SS,2,lagged,power,0.435,0.7735047450926771,0.34455089820359286
SS,3,lagged,power,0.215,0.9374094181848723,0.4171756487025948
SS,4,lagged,power,0.13,1.490932829898267,0.4755189620758483
cDM,0,lagged,power,0.24,,0.36007984031936124
cDM,1,lagged,power,0.195,,0.39128742514970055
cDM,2,lagged,power,0.175,,0.42122754491017966
cDM,3,lagged,power,0.145,,0.4613373253493014
cDM,4,lagged,power,0.105,,0.5003293413173653
