rep,method,rmse,t,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.9468645336455156,1,0,-8.688677391927033,0.40718562874251496,0,lagged,power,500,0.1
0,Oracle,,1,0,0.879454370810954,0.00998003992015968,1,lagged,power,500,0.1
0,DM,,1,0,-0.38415961018991324,0.9181636726546906,0,lagged,power,500,0.1
0,cDM,,1,0,-0.20657652761413622,0.93812375249501,0,lagged,power,500,0.1
0,SS,0.44723274517545614,1,0,-0.38438279610054593,0.2375249500998004,0,lagged,power,500,0.1
0,RC,0.9915963129168188,2,0,25.576203977898054,0.003992015968063872,1,lagged,power,500,0.1
0,Oracle,,2,0,31.95344634109628,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,2,0,0.15422845917933353,0.249500998003992,0,lagged,power,500,0.1
0,cDM,,2,0,-0.10348640578694068,0.8483033932135728,0,lagged,power,500,0.1
0,SS,0.4387097343912047,2,0,-5.4255965334223655,0.40119760479041916,0,lagged,power,500,0.1
0,RC,1.06078453372091,3,0,-1.1546020499364649,0.28542914171656686,0,lagged,power,500,0.1
0,Oracle,,3,0,14.852145936199243,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,3,0,-0.015435024832764141,0.5269461077844312,0,lagged,power,500,0.1
0,cDM,,3,0,-0.01668949029963741,0.5568862275449101,0,lagged,power,500,0.1
0,SS,0.42722144489176905,3,0,10.851129969678814,0.001996007984031936,1,lagged,power,500,0.1
0,RC,1.1798435699575414,4,0,7.41418035801229,0.5249500998003992,0,lagged,power,500,0.1
0,Oracle,,4,0,26.338227969643025,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,4,0,0.6907233846746682,0.01996007984031936,1,lagged,power,500,0.1
0,cDM,,4,0,0.3560477164155932,0.001996007984031936,1,lagged,power,500,0.1
0,SS,0.4456734991948724,4,0,10.599962800121219,0.005988023952095809,1,lagged,power,500,0.1
0,RC,1.4054236094418897,5,0,20.782597524165944,0.6906187624750499,0,lagged,power,500,0.1
0,Oracle,,5,0,43.456543060196836,0.027944111776447105,1,lagged,power,500,0.1
0,DM,,5,0,0.17960244358954194,0.35528942115768464,0,lagged,power,500,0.1
0,cDM,,5,0,0.18503013484703915,0.11776447105788423,0,lagged,power,500,0.1
0,SS,0.42689795288601834,5,0,4.874444333490804,0.007984031936127744,1,lagged,power,500,0.1
0,RC,0.8164609524241794,1,1,-3.0399057913286254,0.41916167664670656,0,lagged,power,500,0.1
