rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RC,0.2658575443799794,1,-0.17517191744369107,0.19161676646706588,0,lagged,power,500,0.1
0,Oracle,,1,-0.013885158902439309,0.08782435129740519,1,lagged,power,500,0.1
0,DM,,1,0.0022308017647549045,0.5149700598802395,0,lagged,power,500,0.1
0,cDM,,1,0.005581141216781728,0.4550898203592814,0,lagged,power,500,0.1
0,SS,0.802786154758585,1,0.12258647586618554,0.04590818363273453,1,lagged,power,500,0.1
0,RC,0.2586467151936244,2,0.4122434415751471,0.24750499001996007,0,lagged,power,500,0.1
0,Oracle,,2,1.0291938533768157,0.10778443113772455,0,lagged,power,500,0.1
0,DM,,2,0.29101683638006887,0.19760479041916168,0,lagged,power,500,0.1
0,cDM,,2,-0.048092761399457576,0.6766467065868264,0,lagged,power,500,0.1
0,SS,0.7964983195619245,2,-1.3410413102866774,0.8962075848303394,0,lagged,power,500,0.1
0,RC,0.524778058643915,3,4.399021744641692,0.013972055888223553,1,lagged,power,500,0.1
0,Oracle,,3,4.909588201220876,0.013972055888223553,1,lagged,power,500,0.1
0,DM,,3,0.4150327348756723,0.1596806387225549,0,lagged,power,500,0.1
0,cDM,,3,0.051788231167620526,0.32934131736526945,0,lagged,power,500,0.1
0,SS,0.7621948371573568,3,0.40807720039374534,0.05189620758483034,1,lagged,power,500,0.1
0,RC,0.6444892315575272,4,8.213954534179642,0.001996007984031936,1,lagged,power,500,0.1
0,Oracle,,4,6.572630385941833,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,4,0.009100059893024138,0.530938123752495,0,lagged,power,500,0.1
0,cDM,,4,0.09906493136535649,0.2375249500998004,0,lagged,power,500,0.1
0,SS,0.7052548273546847,4,-0.2448827619397395,0.4810379241516966,0,lagged,power,500,0.1
0,RC,1.0065775607266516,5,2.071212477218846,0.6327345309381237,0,lagged,power,500,0.1
0,Oracle,,5,5.347869609959657,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,5,0.5137659655298633,0.10978043912175649,0,lagged,power,500,0.1
0,cDM,,5,0.014769697387545574,0.42115768463073855,0,lagged,power,500,0.1
0,SS,0.7507186843585745,5,1.8792772231671144,0.3193612774451098,0,lagged,power,500,0.1
1,RC,0.5978757620859642,1,1.595091104096487,0.10379241516966067,0,lagged,power,500,0.1
