method,k,assumption,setting,reject_rate,rmse,mean_p
DM,1,static,power,0.09,,0.4957684630738523
DM,2,static,power,0.12,,0.4860578842315369
DM,3,static,power,0.09,,0.5143812375249501
DM,4,static,power,0.17,,0.4478942115768463
DM,5,static,power,0.13,,0.4417065868263473
Oracle,1,static,power,0.315,,0.26268463073852294
Oracle,2,static,power,0.455,,0.17528942115768462
Oracle,3,static,power,0.545,,0.15465069860279443
Oracle,4,static,power,0.635,,0.10562874251497005
Oracle,5,static,power,0.685,,0.09930139720558882
RV,1,static,power,0.115,0.8769736470777161,0.46814371257485027
RV,2,static,power,0.18,0.9143235989129963,0.44729540918163674
RV,3,static,power,0.185,0.9786654087673935,0.4509880239520958
RV,4,static,power,0.285,1.0584964970624253,0.3632335329341317
RV,5,static,power,0.29,1.2050137998433204,0.35516966067864275
SS,1,static,power,0.115,1.208483706954211,0.49020958083832333
SS,2,static,power,0.13,1.1677090749849852,0.48697604790419163
SS,3,static,power,0.165,1.2239538593618757,0.46487025948103794
SS,4,static,power,0.12,1.3225770561244696,0.4854690618762475
SS,5,static,power,0.13,1.4584209177680867,0.49302395209580835
cDM,1,static,power,0.09,,0.5773453093812375
cDM,2,static,power,0.13,,0.5310578842315369
cDM,3,static,power,0.155,,0.4800698602794411
cDM,4,static,power,0.21,,0.40512974051896206
cDM,5,static,power,0.245,,0.3616067864271457
