method,l,t,assumption,setting,reject_rate,rmse,mean_p
DM,0,1,static,power,0.17,,0.41303393213572853
DM,0,2,static,power,0.07,,0.5013572854291417
DM,0,3,static,power,0.125,,0.4670758483033932
DM,0,4,static,power,0.125,,0.4631137724550898
DM,0,5,static,power,0.11,,0.4781936127744511
DM,1,1,static,power,0.145,,0.42884231536926143
DM,1,2,static,power,0.085,,0.5052894211576846
DM,1,3,static,power,0.15,,0.47065868263473054
DM,1,4,static,power,0.12,,0.46684630738522953
DM,2,1,static,power,0.125,,0.4509880239520958
DM,2,2,static,power,0.095,,0.5066966067864271
DM,2,3,static,power,0.09,,0.4826546906187625
DM,3,1,static,power,0.155,,0.45424151696606785
DM,3,2,static,power,0.095,,0.5028343313373254
DM,4,1,static,power,0.135,,0.4566067864271457
Oracle,0,1,static,power,0.835,,0.05598802395209581
Oracle,0,2,static,power,0.98,,0.011576846307385228
Oracle,0,3,static,power,0.98,,0.013632734530938124
Oracle,0,4,static,power,0.935,,0.028592814371257488
Oracle,0,5,static,power,0.725,,0.0790319361277445
Oracle,1,1,static,power,0.82,,0.058842315369261475
Oracle,1,2,static,power,0.975,,0.015758483033932135
Oracle,1,3,static,power,0.925,,0.029830339321357285
Oracle,1,4,static,power,0.745,,0.08935129740518961
Oracle,2,1,static,power,0.855,,0.05188622754491018
Oracle,2,2,static,power,0.94,,0.025389221556886228
Oracle,2,3,static,power,0.73,,0.0862874251497006
Oracle,3,1,static,power,0.805,,0.06300399201596807
Oracle,3,2,static,power,0.755,,0.07907185628742515
Oracle,4,1,static,power,0.61,,0.121187624750499
RV,0,1,static,power,0.42,1.048265976173414,0.26553892215568864
RV,0,2,static,power,0.345,1.0599904737867754,0.3763173652694611
RV,0,3,static,power,0.245,1.046462956508399,0.4076746506986028
RV,0,4,static,power,0.295,1.0336683907418347,0.34540918163672657
RV,0,5,static,power,0.265,1.0064281896934566,0.3534730538922156
RV,1,1,static,power,0.355,1.0336200655837906,0.30094810379241516
RV,1,2,static,power,0.3,1.0534939261407639,0.3879740518962076
RV,1,3,static,power,0.25,1.0364501363026628,0.3925349301397205
RV,1,4,static,power,0.23,1.0408942524771962,0.37239520958083827
RV,2,1,static,power,0.32,1.0182214529194522,0.33046906187624747
RV,2,2,static,power,0.28,1.0447039684146078,0.3712874251497006
RV,2,3,static,power,0.215,1.0468576788089758,0.40150698602794416
RV,3,1,static,power,0.285,0.9913348816524058,0.3650499001996008
RV,3,2,static,power,0.25,1.0612704307946645,0.38125748502994017
RV,4,1,static,power,0.24,0.9641862429045949,0.38786427145708585
SS,0,1,static,power,0.15,0.867993471070475,0.48667664670658684
SS,0,2,static,power,0.125,0.8639134396037679,0.48333333333333334
SS,0,3,static,power,0.085,0.8608561761077347,0.4781936127744511
SS,0,4,static,power,0.165,0.8656244210910568,0.4804091816367266
SS,0,5,static,power,0.09,0.8450099553113052,0.4823952095808383
SS,1,1,static,power,0.145,0.9538347333079662,0.4660578842315369
SS,1,2,static,power,0.095,0.9537481893994803,0.48167664670658683
SS,1,3,static,power,0.13,0.9381960321446694,0.5078742514970059
SS,1,4,static,power,0.115,0.9488017745536141,0.47390219560878244
SS,2,1,static,power,0.115,1.0929074862825814,0.48290419161676645
SS,2,2,static,power,0.085,1.0819056448514086,0.5175449101796407
SS,2,3,static,power,0.115,1.0572442249489797,0.49535928143712576
SS,3,1,static,power,0.12,1.3177835382156582,0.4696307385229541
SS,3,2,static,power,0.11,1.289546458576313,0.5090918163672654
SS,4,1,static,power,0.145,1.9564948932996071,0.47038922155688623
cDM,0,1,static,power,0.205,,0.416187624750499
cDM,0,2,static,power,0.175,,0.45337325349301394
cDM,0,3,static,power,0.17,,0.4211976047904191
cDM,0,4,static,power,0.145,,0.4421756487025948
cDM,0,5,static,power,0.105,,0.47681636726546905
cDM,1,1,static,power,0.185,,0.4286626746506986
cDM,1,2,static,power,0.1,,0.44647704590818366
cDM,1,3,static,power,0.125,,0.44069860279441114
cDM,1,4,static,power,0.135,,0.45884231536926146
cDM,2,1,static,power,0.16,,0.4666067864271457
cDM,2,2,static,power,0.14,,0.43666666666666665
cDM,2,3,static,power,0.15,,0.4784630738522954
cDM,3,1,static,power,0.14,,0.45808383233532934
cDM,3,2,static,power,0.135,,0.4648802395209581
cDM,4,1,static,power,0.145,,0.484001996007984
