rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,1.2689389411181944,1,2.223721719541246,0.21956087824351297,0,static,power,500,0.1
0,Oracle,,1,1.853750400714007,0.1656686626746507,0,static,power,500,0.1
0,DM,,1,-0.05506600092379495,0.5808383233532934,0,static,power,500,0.1
0,cDM,,1,0.26435189604262843,0.06786427145708583,1,static,power,500,0.1
0,SS,1.2059642013687462,1,1.7597256934782721,0.041916167664670656,1,static,power,500,0.1
0,RV,0.5878765652153303,2,1.9154179003550607,0.10978043912175649,0,static,power,500,0.1
0,Oracle,,2,3.087693101697235,0.09780439121756487,1,static,power,500,0.1
0,DM,,2,-0.6710164105348914,0.8483033932135728,0,static,power,500,0.1
0,cDM,,2,-0.20281208462203684,0.7984031936127745,0,static,power,500,0.1
0,SS,0.9655315057145861,2,0.5796974556794884,0.05588822355289421,1,static,power,500,0.1
0,RV,0.6094625474595681,3,6.021860726425402,0.2215568862275449,0,static,power,500,0.1
0,Oracle,,3,6.3758932026201345,0.17165668662674652,0,static,power,500,0.1
0,DM,,3,0.29042877021228175,0.27345309381237526,0,static,power,500,0.1
0,cDM,,3,0.04088465564730502,0.36726546906187624,0,static,power,500,0.1
0,SS,1.198383848004312,3,0.5146237699801122,0.16167664670658682,0,static,power,500,0.1
0,RV,0.7421864249721952,4,4.585151526383435,0.08183632734530938,1,static,power,500,0.1
0,Oracle,,4,1.9342008749028807,0.03792415169660679,1,static,power,500,0.1
0,DM,,4,-1.2450618170613585,0.9760479041916168,0,static,power,500,0.1
0,cDM,,4,-0.05769290338999726,0.6067864271457086,0,static,power,500,0.1
0,SS,1.3298120985984652,4,-0.25875728727489256,0.44510978043912175,0,static,power,500,0.1
0,RV,1.2837559196303923,5,10.106125827224508,0.05189620758483034,1,static,power,500,0.1
0,Oracle,,5,9.079569264000302,0.011976047904191617,1,static,power,500,0.1
0,DM,,5,-0.14095304595406358,0.626746506986028,0,static,power,500,0.1
0,cDM,,5,0.08822876920443393,0.2994011976047904,0,static,power,500,0.1
0,SS,1.3868639558453144,5,-2.3072292131567864,0.8582834331337326,0,static,power,500,0.1
1,RV,0.7792945724929518,1,1.7750016566309263,0.36127744510978044,0,static,power,500,0.1
1,Oracle,,1,2.2661946746871093,0.09381237524950099,1,static,power,500,0.1
1,DM,,1,-0.1738235483303318,0.5768463073852296,0,static,power,500,0.1
1,cDM,,1,-0.0069410714506195036,0.499001996007984,0,static,power,500,0.1
1,SS,1.3336999877307194,1,0.7961152643392634,0.4231536926147705,0,static,power,500,0.1
1,RV,0.9818201487969446,2,2.318776642863762,0.3253493013972056,0,static,power,500,0.1
1,Oracle,,2,0.001718957147512129,0.17564870259481039,0,static,power,500,0.1
1,DM,,2,-0.2833871769701426,0.6966067864271457,0,static,power,500,0.1
1,cDM,,2,-0.17769880137284233,0.8562874251497006,0,static,power,500,0.1
1,SS,0.9192032715240486,2,0.16410830021024098,0.3812375249500998,0,static,power,500,0.1
1,RV,1.1970834623062931,3,1.047113451437113,0.2894211576846307,0,static,power,500,0.1
