rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,0.9610474811006281,0,5,1.3930974592054432e-06,1,static,power,500,0.1
0,Oracle,,0,5,2.308027393424007e-08,1,static,power,500,0.1
0,DM,,0,5,0.5717209565808651,0,static,power,500,0.1
0,cDM,,0,5,0.2409275572435535,0,static,power,500,0.1
0,SS,0.6222811787561484,0,5,0.002911806724811906,1,static,power,500,0.1
0,RV,0.989282370740452,1,4,7.863827685021177e-05,1,static,power,500,0.1
0,Oracle,,1,4,4.0807636972367064e-07,1,static,power,500,0.1
0,DM,,1,4,0.7447909003868551,0,static,power,500,0.1
0,cDM,,1,4,0.27923612522339236,0,static,power,500,0.1
0,SS,0.759323805551857,1,4,0.006763266123046134,1,static,power,500,0.1
0,RV,0.9410776549292384,2,3,0.0012136322829815838,1,static,power,500,0.1
0,Oracle,,2,3,4.2449799396233555e-05,1,static,power,500,0.1
0,DM,,2,3,0.7966601675263639,0,static,power,500,0.1
0,cDM,,2,3,0.4359156799789571,0,static,power,500,0.1
0,SS,0.9755976786334019,2,3,0.2454383964858984,0,static,power,500,0.1
0,RV,0.8218385176188115,3,2,0.035796441382461935,1,static,power,500,0.1
0,Oracle,,3,2,0.00945238714233177,1,static,power,500,0.1
0,DM,,3,2,0.7274264760691174,0,static,power,500,0.1
0,cDM,,3,2,0.40009087461515747,0,static,power,500,0.1
0,SS,1.3470068276605747,3,2,0.1361172092911361,0,static,power,500,0.1
0,RV,0.8637581323738974,4,1,0.08982035928143714,1,static,power,500,0.1
0,Oracle,,4,1,0.04391217564870258,1,static,power,500,0.1
0,DM,,4,1,0.8542914171656687,0,static,power,500,0.1
0,cDM,,4,1,0.6407185628742517,0,static,power,500,0.1
0,SS,1.9673992583209807,4,1,0.48103792415169666,0,static,power,500,0.1
1,RV,0.945610563658659,0,5,0.0009558836790226396,1,static,power,500,0.1
1,Oracle,,0,5,5.642764016950982e-07,1,static,power,500,0.1
1,DM,,0,5,0.5218156174923637,0,static,power,500,0.1
1,cDM,,0,5,0.23533733040663676,0,static,power,500,0.1
1,SS,0.9525462756325863,0,5,0.66672854413446,0,static,power,500,0.1
1,RV,0.9321780193782331,1,4,0.026565689223133553,1,static,power,500,0.1
1,Oracle,,1,4,1.0801626649910926e-05,1,static,power,500,0.1
1,DM,,1,4,0.36151405378011614,0,static,power,500,0.1
1,cDM,,1,4,0.09617274059630058,1,static,power,500,0.1
1,SS,0.963201580376431,1,4,0.6355280518477222,0,static,power,500,0.1
1,RV,0.9857876004858275,2,3,0.010577784771074213,1,static,power,500,0.1
1,Oracle,,2,3,0.000363298159162256,1,static,power,500,0.1
1,DM,,2,3,0.35023966435281584,0,static,power,500,0.1
1,cDM,,2,3,0.010725520891385665,1,static,power,500,0.1
1,SS,1.0927322199716232,2,3,0.5016076413806749,0,static,power,500,0.1
1,RV,1.1007021473969407,3,2,0.0356528708564142,1,static,power,500,0.1
1,Oracle,,3,2,0.001090470293251682,1,static,power,500,0.1
1,DM,,3,2,0.6594312601698281,0,static,power,500,0.1
1,cDM,,3,2,0.1174713709739917,0,static,power,500,0.1
1,SS,1.2847023069209906,3,2,0.31832675819497563,0,static,power,500,0.1
1,RV,0.9203921711039116,4,1,0.06387225548902195,1,static,power,500,0.1
1,Oracle,,4,1,0.03792415169660676,1,static,power,500,0.1
1,DM,,4,1,0.7744510978043913,0,static,power,500,0.1
1,cDM,,4,1,0.5149700598802396,0,static,power,500,0.1
1,SS,1.6952585861707348,4,1,0.2574850299401197,0,static,power,500,0.1
2,RV,0.9911724693163414,0,5,0.6278921025712307,0,static,power,500,0.1
2,Oracle,,0,5,3.702842559499571e-06,1,static,power,500,0.1
2,DM,,0,5,0.8496287850581078,0,static,power,500,0.1
2,cDM,,0,5,0.7937041338672892,0,static,power,500,0.1
2,SS,0.6030080948124688,0,5,0.19291716686458216,0,static,power,500,0.1
2,RV,0.9957576946466591,1,4,0.5299786807899791,0,static,power,500,0.1
2,Oracle,,1,4,6.777494950878458e-06,1,static,power,500,0.1
2,DM,,1,4,0.9327099521739463,0,static,power,500,0.1
2,cDM,,1,4,0.8252775320302477,0,static,power,500,0.1
2,SS,0.7933185587434948,1,4,0.06505838563434095,1,static,power,500,0.1
2,RV,0.9912207437553859,2,3,0.06876198495949647,1,static,power,500,0.1
2,Oracle,,2,3,0.0010047035619846704,1,static,power,500,0.1
2,DM,,2,3,0.8475623645644235,0,static,power,500,0.1
2,cDM,,2,3,0.6099392212520853,0,static,power,500,0.1
