rep,method,rmse,t,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,RV,0.9514325451203073,1,0,-2.593482472806933,0.033932135728542916,1,static,power,500,0.1
0,Oracle,,1,0,6.636373829243095,0.001996007984031936,1,static,power,500,0.1
0,DM,,1,0,-0.0841798348076192,0.5808383233532934,0,static,power,500,0.1
0,cDM,,1,0,-0.051044293275949844,0.590818363273453,0,static,power,500,0.1
0,SS,0.6100836597748994,1,0,-0.6511043015394624,0.25149700598802394,0,static,power,500,0.1
0,RV,0.9638565852984373,2,0,21.06036449302171,0.003992015968063872,1,static,power,500,0.1
0,Oracle,,2,0,31.404241762362894,0.001996007984031936,1,static,power,500,0.1
0,DM,,2,0,0.25355237118158636,0.17764471057884232,0,static,power,500,0.1
0,cDM,,2,0,0.14537770933426314,0.1217564870259481,0,static,power,500,0.1
0,SS,0.6279499927144493,2,0,9.633262600802187,0.001996007984031936,1,static,power,500,0.1
0,RV,1.0246695853108194,3,0,41.40902691591515,0.001996007984031936,1,static,power,500,0.1
0,Oracle,,3,0,38.07022119060219,0.001996007984031936,1,static,power,500,0.1
0,DM,,3,0,-0.09029987730242699,0.6067864271457086,0,static,power,500,0.1
0,cDM,,3,0,0.1558168440227155,0.12375249500998003,0,static,power,500,0.1
0,SS,0.6283039669398854,3,0,-0.5620332605010432,0.10978043912175649,0,static,power,500,0.1
0,RV,0.9875351022292939,4,0,40.46972771191071,0.003992015968063872,1,static,power,500,0.1
0,Oracle,,4,0,39.45900961157079,0.001996007984031936,1,static,power,500,0.1
0,DM,,4,0,0.2632278793967358,0.26147704590818366,0,static,power,500,0.1
0,cDM,,4,0,0.05527491682220348,0.3413173652694611,0,static,power,500,0.1
0,SS,0.6388890761287048,4,0,3.03435455704453,0.12974051896207583,0,static,power,500,0.1
0,RV,0.8777435875442825,5,0,33.83004161739992,0.09181636726546906,1,static,power,500,0.1
0,Oracle,,5,0,20.670780309309166,0.0499001996007984,1,static,power,500,0.1
0,DM,,5,0,-0.5683790035152055,0.8343313373253493,0,static,power,500,0.1
0,cDM,,5,0,-0.03896032480641473,0.5748502994011976,0,static,power,500,0.1
0,SS,0.6061791982228025,5,0,11.404245239967285,0.22355289421157684,0,static,power,500,0.1
0,RV,1.0025403694714683,1,1,8.005392868471649,0.03792415169660679,1,static,power,500,0.1
0,Oracle,,1,1,11.666983131868287,0.005988023952095809,1,static,power,500,0.1
0,DM,,1,1,0.03328291549066484,0.46107784431137727,0,static,power,500,0.1
0,cDM,,1,1,0.12409102487348564,0.2155688622754491,0,static,power,500,0.1
0,SS,0.7114643836913809,1,1,-0.5815014519684416,0.0998003992015968,1,static,power,500,0.1
0,RV,0.9171126453990774,2,1,15.18635538994707,0.03792415169660679,1,static,power,500,0.1
0,Oracle,,2,1,32.939383092481314,0.003992015968063872,1,static,power,500,0.1
0,DM,,2,1,0.06762091021941395,0.40119760479041916,0,static,power,500,0.1
0,cDM,,2,1,0.05702515060586823,0.35528942115768464,0,static,power,500,0.1
0,SS,0.7573991501928748,2,1,2.231521691917994,0.041916167664670656,1,static,power,500,0.1
0,RV,0.9782441248663379,3,1,52.503756575490314,0.001996007984031936,1,static,power,500,0.1
0,Oracle,,3,1,43.20088190254204,0.003992015968063872,1,static,power,500,0.1
0,DM,,3,1,-0.08348393311843393,0.5968063872255489,0,static,power,500,0.1
0,cDM,,3,1,0.13559520480187995,0.17764471057884232,0,static,power,500,0.1
0,SS,0.691744789295544,3,1,-0.4247772240033837,0.11776447105788423,0,static,power,500,0.1
0,RV,1.0592323432249242,4,1,51.70752234759178,0.031936127744510975,1,static,power,500,0.1
0,Oracle,,4,1,48.81527623923728,0.001996007984031936,1,static,power,500,0.1
0,DM,,4,1,-0.2529279477117766,0.7005988023952096,0,static,power,500,0.1
0,cDM,,4,1,0.007621087188874226,0.5469061876247505,0,static,power,500,0.1
0,SS,0.8766868990276281,4,1,14.763668045067616,0.05189620758483034,1,static,power,500,0.1
0,RV,0.9632575907312031,1,2,10.778792615383141,0.05189620758483034,1,static,power,500,0.1
0,Oracle,,1,2,11.327061436805112,0.013972055888223553,1,static,power,500,0.1
0,DM,,1,2,-0.038518986926908375,0.5429141716566867,0,static,power,500,0.1
0,cDM,,1,2,0.09544960652601664,0.3073852295409182,0,static,power,500,0.1
0,SS,1.0067107065987067,1,2,-2.7379484408583377,0.2554890219560878,0,static,power,500,0.1
0,RV,0.8152107403863704,2,2,17.63409094193055,0.05389221556886228,1,static,power,500,0.1
0,Oracle,,2,2,27.633043980055692,0.003992015968063872,1,static,power,500,0.1
0,DM,,2,2,0.07098935720794229,0.4930139720558882,0,static,power,500,0.1
0,cDM,,2,2,-0.0012523159644644705,0.5109780439121756,0,static,power,500,0.1
0,SS,0.9472984291773819,2,2,1.569039367581194,0.1377245508982036,0,static,power,500,0.1
0,RV,1.0447646336701422,3,2,69.26550217547232,0.005988023952095809,1,static,power,500,0.1
0,Oracle,,3,2,48.145072294665624,0.005988023952095809,1,static,power,500,0.1
0,DM,,3,2,-0.5224751175002832,0.7944111776447106,0,static,power,500,0.1
0,cDM,,3,2,0.08229571904342416,0.33532934131736525,0,static,power,500,0.1
0,SS,0.9727839001241165,3,2,3.6124858669438233,0.5469061876247505,0,static,power,500,0.1
0,RV,0.8663666432807048,1,3,9.458859275800997,0.08582834331337326,1,static,power,500,0.1
0,Oracle,,1,3,9.126647729450267,0.05588822355289421,1,static,power,500,0.1
0,DM,,1,3,-0.02633715636578017,0.5089820359281437,0,static,power,500,0.1
0,cDM,,1,3,0.08013390641918726,0.31736526946107785,0,static,power,500,0.1
0,SS,1.3378284988097349,1,3,-5.348072057912707,0.42115768463073855,0,static,power,500,0.1
0,RV,0.7773103919569183,2,3,29.600148388467133,0.06786427145708583,1,static,power,500,0.1
0,Oracle,,2,3,21.465814081493804,0.021956087824351298,1,static,power,500,0.1
0,DM,,2,3,-0.3488378790119306,0.7065868263473054,0,static,power,500,0.1
0,cDM,,2,3,0.0357144636116843,0.4171656686626746,0,static,power,500,0.1
0,SS,1.3561851565114145,2,3,17.95006257533095,0.0718562874251497,1,static,power,500,0.1
0,RV,0.8637581323738974,1,4,13.486530308122212,0.08982035928143713,1,static,power,500,0.1
0,Oracle,,1,4,5.920487644875423,0.043912175648702596,1,static,power,500,0.1
0,DM,,1,4,-0.6629392364870161,0.8542914171656687,0,static,power,500,0.1
0,cDM,,1,4,-0.05939660494326534,0.6407185628742516,0,static,power,500,0.1
0,SS,1.9673992583209807,1,4,-14.244191495475192,0.4810379241516966,0,static,power,500,0.1
1,RV,1.0408770502139775,1,0,-0.43583220980851145,0.02594810379241517,1,static,power,500,0.1
1,Oracle,,1,0,14.920063745719103,0.001996007984031936,1,static,power,500,0.1
1,DM,,1,0,-0.30153253117628953,0.7664670658682635,0,static,power,500,0.1
1,cDM,,1,0,-0.16483738270653853,0.8303393213572854,0,static,power,500,0.1
1,SS,0.8794885308300903,1,0,-7.13237885913537,0.9640718562874252,0,static,power,500,0.1
1,RV,1.0461645606850531,2,0,-22.688896906495962,0.5528942115768463,0,static,power,500,0.1
1,Oracle,,2,0,30.976784459299903,0.001996007984031936,1,static,power,500,0.1
1,DM,,2,0,0.22589225036685118,0.20958083832335328,0,static,power,500,0.1
1,cDM,,2,0,0.13785318956517773,0.10778443113772455,0,static,power,500,0.1
1,SS,0.9134884361955664,2,0,-1.4508660295809803,0.4231536926147705,0,static,power,500,0.1
1,RV,0.8919874745629848,3,0,-5.751564288126334,0.281437125748503,0,static,power,500,0.1
1,Oracle,,3,0,11.339459917273686,0.007984031936127744,1,static,power,500,0.1
1,DM,,3,0,0.15801517995820405,0.3313373253493014,0,static,power,500,0.1
1,cDM,,3,0,0.09556009432150114,0.23952095808383234,0,static,power,500,0.1
1,SS,0.9195110451214829,3,0,-2.1723928839999473,0.6147704590818364,0,static,power,500,0.1
1,RV,0.8658572382456127,4,0,14.468675895289266,0.021956087824351298,1,static,power,500,0.1
1,Oracle,,4,0,7.3821517278974325,0.03792415169660679,1,static,power,500,0.1
1,DM,,4,0,0.2719945351528463,0.22355289421157684,0,static,power,500,0.1
1,cDM,,4,0,0.03476054001731481,0.38922155688622756,0,static,power,500,0.1
1,SS,0.967986975149402,4,0,5.090882396403992,0.22554890219560877,0,static,power,500,0.1
1,RV,0.8831664945856672,5,0,42.630503902481934,0.003992015968063872,1,static,power,500,0.1
1,Oracle,,5,0,15.321745298707256,0.027944111776447105,1,static,power,500,0.1
1,DM,,5,0,-0.7124908700079569,0.8842315369261478,0,static,power,500,0.1
1,cDM,,5,0,0.14442677801848305,0.1996007984031936,0,static,power,500,0.1
1,SS,1.08225639086639,5,0,5.980177070458206,0.3932135728542914,0,static,power,500,0.1
1,RV,0.9050966334984705,1,1,-4.759282084797887,0.2954091816367265,0,static,power,500,0.1
1,Oracle,,1,1,7.371952627559128,0.005988023952095809,1,static,power,500,0.1
1,DM,,1,1,-0.26615383057245884,0.7524950099800399,0,static,power,500,0.1
1,cDM,,1,1,-0.1597075059482707,0.8562874251497006,0,static,power,500,0.1
1,SS,0.8910142526918853,1,1,-3.905191992116094,0.7305389221556886,0,static,power,500,0.1
1,RV,1.0709938504539331,2,1,-14.337586271691519,0.49101796407185627,0,static,power,500,0.1
1,Oracle,,2,1,29.23709053194797,0.001996007984031936,1,static,power,500,0.1
1,DM,,2,1,0.3745014117167836,0.14570858283433133,0,static,power,500,0.1
1,cDM,,2,1,0.21389135115130758,0.07784431137724551,1,static,power,500,0.1
1,SS,0.9642774747467585,2,1,-2.174838501039478,0.6307385229540918,0,static,power,500,0.1
1,RV,0.9122386715992004,3,1,17.78556319280043,0.013972055888223553,1,static,power,500,0.1
1,Oracle,,3,1,8.11058601834909,0.023952095808383235,1,static,power,500,0.1
1,DM,,3,1,0.41505048402062183,0.15768463073852296,0,static,power,500,0.1
1,cDM,,3,1,0.2383037512354514,0.04590818363273453,1,static,power,500,0.1
1,SS,1.0059023315055948,3,1,5.8166938411212294,0.32934131736526945,0,static,power,500,0.1
1,RV,0.840382921961328,4,1,8.549412516096076,0.08383233532934131,1,static,power,500,0.1
1,Oracle,,4,1,4.8673584368032445,0.029940119760479042,1,static,power,500,0.1
1,DM,,4,1,-0.32241967542028405,0.718562874251497,0,static,power,500,0.1
1,cDM,,4,1,0.048940837757623534,0.3852295409181637,0,static,power,500,0.1
1,SS,0.9916122625614855,4,1,12.124856272814595,0.31137724550898205,0,static,power,500,0.1
1,RV,0.8881302015501402,1,2,2.1925408026136504,0.1536926147704591,0,static,power,500,0.1
1,Oracle,,1,2,9.056158535018117,0.017964071856287425,1,static,power,500,0.1
1,DM,,1,2,-0.09364147889939801,0.592814371257485,0,static,power,500,0.1
1,cDM,,1,2,-0.003531633687216776,0.5109780439121756,0,static,power,500,0.1
1,SS,1.0467400301228618,1,2,-0.6837488718648796,0.26746506986027946,0,static,power,500,0.1
1,RV,1.1507041479316567,2,2,5.10545125312893,0.11177644710578842,0,static,power,500,0.1
1,Oracle,,2,2,33.731641426457266,0.003992015968063872,1,static,power,500,0.1
1,DM,,2,2,0.5398758638412127,0.1277445109780439,0,static,power,500,0.1
1,cDM,,2,2,0.2675221078638985,0.03992015968063872,1,static,power,500,0.1
1,SS,1.0912254313281864,2,2,1.374705113882766,0.4530938123752495,0,static,power,500,0.1
1,RV,0.9185284519756857,3,2,28.799914727833432,0.013972055888223553,1,static,power,500,0.1
1,Oracle,,3,2,6.336445334554656,0.05588822355289421,1,static,power,500,0.1
1,DM,,3,2,0.042942744198437854,0.46506986027944114,0,static,power,500,0.1
1,cDM,,3,2,0.43470744119480775,0.011976047904191617,1,static,power,500,0.1
1,SS,1.140231198463821,3,2,9.74890237438006,0.5728542914171657,0,static,power,500,0.1
1,RV,0.9115998184232984,1,3,0.20712336721745417,0.1936127744510978,0,static,power,500,0.1
1,Oracle,,1,3,3.9495164599675325,0.005988023952095809,1,static,power,500,0.1
