method,l,assumption,setting,reject_rate,rmse,mean_p
DM,0,static,power,0.135,,0.4539321357285429
DM,1,static,power,0.185,,0.46682634730538924
DM,2,static,power,0.17,,0.4791017964071856
DM,3,static,power,0.17,,0.4870958083832335
DM,4,static,power,0.13,,0.4975748502994012
Oracle,0,static,power,1.0,,0.001996007984031936
Oracle,1,static,power,1.0,,0.001996007984031936
Oracle,2,static,power,1.0,,0.0020359281437125746
Oracle,3,static,power,0.995,,0.004590818363273453
Oracle,4,static,power,0.845,,0.061467065868263476
RV,0,static,power,0.9,0.9589381391768278,0.041816367265469064
RV,1,static,power,0.835,0.9587293357014347,0.06379241516966068
RV,2,static,power,0.74,0.951217203838792,0.09062874251497005
RV,3,static,power,0.625,0.9232754913583067,0.13587824351297406
RV,4,static,power,0.395,0.8714975084991359,0.24542914171656688
SS,0,static,power,0.44,0.7741804783322201,0.38718562874251494
SS,1,static,power,0.415,0.8441443862962834,0.38786427145708585
SS,2,static,power,0.35,0.9390707573937641,0.4193512974051896
SS,3,static,power,0.19,1.1381292378489676,0.4305688622754491
SS,4,static,power,0.135,1.658564075360664,0.4674850299401198
cDM,0,static,power,0.215,,0.41121756487025946
cDM,1,static,power,0.205,,0.4287924151696607
cDM,2,static,power,0.205,,0.45312375249500997
cDM,3,static,power,0.16,,0.4593512974051896
cDM,4,static,power,0.125,,0.49138722554890224
