rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment,n_time_comparisons,treated_count_min,control_count_min,eligible_count_min,treated_count_mean,control_count_mean,eligible_count_mean
0,power,lagged,RC,0,,0.6366134753989278,0.5672866027470407,-0.03271339725295941,-0.6,0.1563609817885942,0.6,0.19147666363362292,0.2309396347100255,0.574,0.18332679883020092,5,50,50,150,90.0,250.0,340.0
0,power,lagged,RC,1,,1.32030475997756,0.8641581251671373,-0.13584187483286275,-1.0,0.8106876080045791,1.0,0.8938023818247355,0.5196141780975573,0.576,0.16888479987574906,4,50,50,150,87.5,200.0,287.5
0,power,lagged,RC,2,,1.9678717784301394,1.1393457034062695,-0.2606542965937303,-1.4,1.3193070310424937,1.4,1.5035187053255432,0.8082887214850891,0.576,0.21674132912598337,3,50,50,150,83.33333333333333,150.0,233.33333333333334
0,power,lagged,RC,3,,2.240080034768175,1.5600579322395565,-0.23994206776044347,-1.8,1.2426070254081776,1.8026311999999998,1.3135650072933402,1.096963264872621,0.574,0.21465746578672004,2,50,50,150,75.0,100.0,175.0
0,power,lagged,RC,4,,2.7912701336467434,1.8754753377284583,-0.3245246622715418,-2.2,1.58620996851669,2.2083328,1.6956370136079608,1.3856378082601528,0.586,0.2171360369851912,1,50,50,100,50.0,50.0,100.0
1,power,lagged,RC,0,,0.6840596753801459,0.5659340007838369,-0.034065999216163066,-0.6,0.2804736064144058,0.6,0.3201654235278464,0.2309396347100255,0.552,0.1185072656934923,5,50,50,150,90.0,250.0,340.0
1,power,lagged,RC,1,,1.3101647170332367,0.9120777395948075,-0.08792226040519241,-1.0,0.7485812227565792,1.0,0.8234053598297411,0.5196141780975573,0.552,0.12815723099673174,4,50,50,150,87.5,200.0,287.5
1,power,lagged,RC,2,,1.9873223254308936,1.233724705870462,-0.1662752941295381,-1.4,1.25413292697637,1.4,1.4024950326943795,0.8082887214850891,0.552,0.1442147998515355,3,50,50,150,83.33333333333333,150.0,233.33333333333334
1,power,lagged,RC,3,,2.3646455931074124,1.642927547096694,-0.15707245290330588,-1.8,1.3300273548810815,1.8026311999999998,1.374099135240836,1.096963264872621,0.554,0.1311332761678624,2,50,50,150,75.0,100.0,175.0
1,power,lagged,RC,4,,2.9771495921464095,1.9619731294658977,-0.23802687053410274,-2.2,1.7312571435678505,2.2083328,1.8769775762396723,1.3856378082601528,0.554,0.15005154876546542,1,50,50,100,50.0,50.0,100.0
