rep,setting,assumption,hypothesis,method,lag,source_t,pvalue,reject,stat,statistic
0,power,lagged,H0l,RC,0,,0.006644518272425249,1,3.7809342153489376,likelihood
0,power,lagged,H0l,TWFE,0,,0.09942332604866366,1,-0.5008172044441624,likelihood
0,power,lagged,H0l,RC,1,,0.0033222591362126247,1,7.418300690968259,likelihood
0,power,lagged,H0l,TWFE,1,,0.27630628906285576,0,-0.6733914010719715,likelihood
0,power,lagged,H0l,RC,2,,0.0033222591362126247,1,-26.646158018165565,likelihood
0,power,lagged,H0l,TWFE,2,,0.12125610002567785,0,-1.4444301912609685,likelihood
0,power,lagged,H0l,RC,3,,0.0033222591362126247,1,23.77490491387824,likelihood
0,power,lagged,H0l,TWFE,3,,0.02607573236332755,1,-2.582179847144004,likelihood
0,power,lagged,H0l,RC,4,,0.0033222591362126247,1,38.27898469347214,likelihood
0,power,lagged,H0l,TWFE,4,,0.02374788737020128,1,-3.3576785935924476,likelihood
1,power,lagged,H0l,RC,0,,0.053156146179401995,1,6.452840109810334,likelihood
1,power,lagged,H0l,TWFE,0,,0.601937292625333,0,-0.1289971054960417,likelihood
1,power,lagged,H0l,RC,1,,0.016611295681063124,1,8.497752596119282,likelihood
1,power,lagged,H0l,TWFE,1,,0.7955339656576412,0,0.12942150623559445,likelihood
1,power,lagged,H0l,RC,2,,0.006644518272425249,1,-4.164042718508686,likelihood
1,power,lagged,H0l,TWFE,2,,0.7160567971515863,0,0.27513508500969897,likelihood
1,power,lagged,H0l,RC,3,,0.03322259136212625,1,2.8062115485461536,likelihood
1,power,lagged,H0l,TWFE,3,,0.37960778703878406,0,1.0217352398506638,likelihood
1,power,lagged,H0l,RC,4,,0.0033222591362126247,1,79.87144338399213,likelihood
1,power,lagged,H0l,TWFE,4,,0.4451099525512884,0,1.0714759762935024,likelihood
2,power,lagged,H0l,RC,0,,0.0033222591362126247,1,8.875396292400083,likelihood
2,power,lagged,H0l,TWFE,0,,0.05662076577849819,1,-0.788951491463286,likelihood
2,power,lagged,H0l,RC,1,,0.03322259136212625,1,2.666844970693406,likelihood
2,power,lagged,H0l,TWFE,1,,0.12047422185418452,0,-1.3105199487660297,likelihood
2,power,lagged,H0l,RC,2,,0.0033222591362126247,1,27.11340032907428,likelihood
2,power,lagged,H0l,TWFE,2,,0.0446253441403525,1,-2.4502346760437894,likelihood
2,power,lagged,H0l,RC,3,,0.0033222591362126247,1,40.60908300114136,likelihood
2,power,lagged,H0l,TWFE,3,,0.07568078054659165,1,-2.971001421897686,likelihood
2,power,lagged,H0l,RC,4,,0.0033222591362126247,1,65.54592602958218,likelihood
2,power,lagged,H0l,TWFE,4,,0.02032045207305629,1,-4.7072188145576535,likelihood
3,power,lagged,H0l,RC,0,,0.006644518272425249,1,8.596758079362349,likelihood
3,power,lagged,H0l,TWFE,0,,0.1267826340019877,0,-0.8085848520841097,likelihood
3,power,lagged,H0l,RC,1,,0.0033222591362126247,1,18.29262504833267,likelihood
3,power,lagged,H0l,TWFE,1,,0.15489802226947716,0,-1.5010590803194241,likelihood
3,power,lagged,H0l,RC,2,,0.019933554817275746,1,24.684330969360982,likelihood
3,power,lagged,H0l,TWFE,2,,0.27577056515842685,0,-1.7437989662954478,likelihood
3,power,lagged,H0l,RC,3,,0.09966777408637874,1,49.291696830587995,likelihood
3,power,lagged,H0l,TWFE,3,,0.20074871936791774,0,-2.75026419472087,likelihood
3,power,lagged,H0l,RC,4,,0.37209302325581395,0,59.81967612328024,likelihood
3,power,lagged,H0l,TWFE,4,,0.12126085397158677,0,-4.274197455604936,likelihood
4,power,lagged,H0l,RC,0,,0.006644518272425249,1,6.42443837412682,likelihood
4,power,lagged,H0l,TWFE,0,,0.15842056283018252,0,-0.5577282777124557,likelihood
4,power,lagged,H0l,RC,1,,0.0033222591362126247,1,10.046133842884535,likelihood
4,power,lagged,H0l,TWFE,1,,0.34000730723764117,0,-0.7645981407717977,likelihood
4,power,lagged,H0l,RC,2,,0.0033222591362126247,1,23.485885639063326,likelihood
4,power,lagged,H0l,TWFE,2,,0.49711993815333155,0,-0.8220092033741441,likelihood
4,power,lagged,H0l,RC,3,,0.0033222591362126247,1,35.09462534529097,likelihood
4,power,lagged,H0l,TWFE,3,,0.2999096171507945,0,-1.6551685738393294,likelihood
