rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment
0,power,static,RV,,1,0.560433709500671,0.39658415585473417,-0.003415844145265833,-0.4,0.3865218575562828,0.4,0.3956681546661926,0.023093963471002548,0.504,0.009500464202381126
0,power,static,RV,,2,0.6160242034385225,0.3833130487451063,-0.016686951254893733,-0.4,0.4095359256261497,0.4,0.48103185125918846,0.023093963471002548,0.382,0.03297295326493177
0,power,static,RV,,3,0.6131511154572574,0.4048040779758386,0.004804077975838629,-0.4,0.4584344470147942,0.4,0.4603839974623835,0.023093963471002548,0.494,-0.009336068767013508
0,power,static,RV,,4,0.5230372668976202,0.4071887760513035,0.007188776051303517,-0.4,0.22893118549469155,0.4,0.3291468982283718,0.023093963471002548,0.25,-0.017607881957851693
0,power,static,RV,,5,0.592361539451757,0.3973088924044042,-0.002691107595595787,-0.4,0.4341530685779979,0.4,0.4392272618089824,0.023093963471002548,0.5,0.007298750753035668
1,power,static,RV,,1,0.4956806047994093,0.3772333380936881,-0.022766661906311925,-0.4,0.30707928069837337,0.4,0.3188101858671311,0.023093963471002548,0.554,0.06634427602132131
1,power,static,RV,,2,0.6099980607745089,0.3690398464942795,-0.030960153505720477,-0.4,0.46321294523140283,0.4,0.483277443551795,0.023093963471002548,0.552,0.05914378217394408
1,power,static,RV,,3,0.49295736847421256,0.37480552149789387,-0.025194478502106155,-0.4,0.3044402856864201,0.4,0.31745830800316277,0.023093963471002548,0.554,0.07422290819816864
1,power,static,RV,,4,0.4286663815425138,0.3861610583415511,-0.013838941658448949,-0.4,0.12386441976873082,0.4,0.18396648479179117,0.023093963471002548,0.278,0.07314684293970315
1,power,static,RV,,5,0.5138569518087412,0.37398412698936456,-0.026015873010635494,-0.4,0.33716877930341654,0.4,0.3497177976520317,0.023093963471002548,0.552,0.06926236213479436
2,power,static,RV,,1,0.5709860772961098,0.39208415193206975,-0.007915848067930277,-0.4,0.40964480899355626,0.4,0.4132896596377044,0.023093963471002548,0.512,0.016239537455367287
2,power,static,RV,,2,0.6478055695236199,0.3396867949667444,-0.06031320503325563,-0.4,0.537946558389006,0.4,0.5494898228818735,0.023093963471002548,0.548,0.10487886321829583
2,power,static,RV,,3,0.5517490159468057,0.3872769856685417,-0.012723014331458386,-0.4,0.384210109978996,0.4,0.3912339438385485,0.023093963471002548,0.52,0.02975135183913456
2,power,static,RV,,4,0.5247960035559875,0.40760179393800083,0.007601793938000752,-0.4,0.26747106090587114,0.4,0.32829880372127607,0.023093963471002548,0.504,-0.026751680308666884
2,power,static,RV,,5,0.5836107250982098,0.3881920270463489,-0.011807972953651068,-0.4,0.43110596590537326,0.4,0.4346307087070381,0.023093963471002548,0.514,0.025760109665777155
3,power,static,RV,,1,0.5132049598419612,0.4060007338532957,0.006000733853295692,-0.4,0.3091526262004742,0.4,0.31302790563657773,0.023093963471002548,0.49,-0.019225991338911442
3,power,static,RV,,2,0.5238034111535238,0.4050742648938428,0.005074264893842732,-0.4,0.2890404862474814,0.4,0.3318474963144909,0.023093963471002548,0.394,-0.013867858987434454
3,power,static,RV,,3,0.49578235487898187,0.39011635965040525,-0.00988364034959484,-0.4,0.28286117885217527,0.4,0.3058162423078078,0.023093963471002548,0.48,0.03407359220759384
3,power,static,RV,,4,0.4968064485432647,0.38284694544795916,-0.01715305455204082,-0.4,0.2421130507171885,0.4,0.3166843860533321,0.023093963471002548,0.36,0.05626754421722357
3,power,static,RV,,5,0.4904383276639397,0.39056991420489234,-0.009430085795107653,-0.4,0.25779368539450365,0.4,0.2961229229917797,0.023093963471002548,0.478,0.03277531433417636
4,power,static,RV,,1,0.46630638989548107,0.39325409844519366,-0.006745901554806334,-0.4,0.20130877710267273,0.4,0.2487193953872938,0.023093963471002548,0.392,0.025070331613457064
4,power,static,RV,,2,0.5303954303347224,0.3866905453210621,-0.013309454678937892,-0.4,0.33576032019190677,0.4,0.3627998576702199,0.023093963471002548,0.5,0.03786244725476691
4,power,static,RV,,3,0.46566795876974953,0.3918208102866039,-0.00817918971339612,-0.4,0.20390233232489746,0.4,0.25082675196022647,0.023093963471002548,0.39,0.03315545815713057
4,power,static,RV,,4,0.6401745073604537,0.38564444390432584,-0.014355556095674177,-0.4,0.49915861274191126,0.4,0.5098330400502716,0.023093963471002548,0.508,0.026536680365168562
4,power,static,RV,,5,0.5852711802457586,0.3897581496733537,-0.01024185032664629,-0.4,0.42658022895881503,0.4,0.4354489423919103,0.023093963471002548,0.514,0.02209416428004199
5,power,static,RV,,1,0.5121291403921584,0.3846135425732144,-0.015386457426785648,-0.4,0.3333961409727301,0.4,0.33596589963752876,0.023093963471002548,0.524,0.042177360347194735
5,power,static,RV,,2,0.49216836697920574,0.4123852149291536,0.012385214929153544,-0.4,0.10082196338160185,0.4,0.26599046257955555,0.023093963471002548,0.064,-0.05057722763813987
5,power,static,RV,,3,0.5763642375181839,0.3583555337588231,-0.04164446624117688,-0.4,0.44825695688257666,0.4,0.44953510612483216,0.023093963471002548,0.544,0.08887891240429523
5,power,static,RV,,4,0.5693382931814139,0.3577715129772389,-0.0422284870227611,-0.4,0.4014693558280693,0.4,0.4417901980388374,0.023093963471002548,0.478,0.09377347415123267
5,power,static,RV,,5,0.5656401748877349,0.3744379526382439,-0.02556204736175613,-0.4,0.4204046089128603,0.4,0.42197955932841563,0.023093963471002548,0.534,0.056985381137850705
6,power,static,RV,,1,0.5535650983616517,0.4134860101948359,0.013486010194835871,-0.4,0.35885850830232807,0.4,0.3657675663710006,0.023093963471002548,0.49,-0.040685925111840625
6,power,static,RV,,2,0.5197272930491967,0.3962603873436372,-0.0037396126563627647,-0.4,0.29310735431610374,0.4,0.3343729830455489,0.023093963471002548,0.422,0.0083450645078276
6,power,static,RV,,3,0.5669496929371386,0.41727210593423064,0.017272105934230595,-0.4,0.3488098166371571,0.4,0.3817945761057797,0.023093963471002548,0.436,-0.048433796456335866
6,power,static,RV,,4,0.5066091874883548,0.416271031162216,0.016271031162215975,-0.4,0.2392317596478053,0.4,0.2852068446463779,0.023093963471002548,0.376,-0.06339347261421514
6,power,static,RV,,5,0.5187231533165542,0.40951132837328597,0.009511328373285924,-0.4,0.2838912821974175,0.4,0.3158084043511851,0.023093963471002548,0.498,-0.0344217133939473
7,power,static,RV,,1,0.5043009087949601,0.3848153817871436,-0.015184618212856434,-0.4,0.3180936452301473,0.4,0.3250682500078803,0.023093963471002548,0.522,0.04645390681306154
7,power,static,RV,,2,0.6526150713053529,0.3778029838683721,-0.02219701613162801,-0.4,0.5218201161388035,0.4,0.530999278148369,0.023093963471002548,0.522,0.04010496694141826
7,power,static,RV,,3,0.5452607207031529,0.40296806424210835,0.002968064242108344,-0.4,0.34776457242820447,0.4,0.3656044745155431,0.023093963471002548,0.502,-0.010582558672991368
7,power,static,RV,,4,0.5853347516699635,0.3524228077222,-0.04757719227779994,-0.4,0.3968221043050088,0.4,0.4675184902386702,0.023093963471002548,0.404,0.10291161273195179
7,power,static,RV,,5,0.6418915775224237,0.3758418224859513,-0.02415817751404867,-0.4,0.5156755112039544,0.4,0.5190187695496183,0.023093963471002548,0.524,0.04436732302689188
8,power,static,RV,,1,0.5656586148694412,0.3806678753724979,-0.01933212462750214,-0.4,0.4058584498251442,0.4,0.4170066770586338,0.023093963471002548,0.528,0.04433807280768332
8,power,static,RV,,2,0.5583612888822723,0.3848342493192108,-0.015165750680789224,-0.4,0.3688869893049431,0.4,0.4033383743553819,0.023093963471002548,0.464,0.03610553843227249
8,power,static,RV,,3,0.5636623103760434,0.3810081213432062,-0.018991878656793866,-0.4,0.39677498735350825,0.4,0.4145265899931135,0.023093963471002548,0.524,0.04514323283107749
8,power,static,RV,,4,0.47886732873762844,0.3888284923961153,-0.011171507603884773,-0.4,0.21771273276195957,0.4,0.27718716654376124,0.023093963471002548,0.358,0.03678346850293597
8,power,static,RV,,5,0.4912230379700772,0.36377053081051225,-0.03622946918948779,-0.4,0.3056827414404535,0.4,0.3289654213127997,0.023093963471002548,0.538,0.1084600306965304
9,power,static,RV,,1,0.537437278887904,0.38275715009107,-0.01724284990892998,-0.4,0.36716160951985727,0.4,0.37682038252582334,0.023093963471002548,0.522,0.04626731407577411
9,power,static,RV,,2,0.6223893733028687,0.37910961377938607,-0.020890386220613955,-0.4,0.46665098422861173,0.4,0.49384586697457117,0.023093963471002548,0.514,0.04414404151404449
9,power,static,RV,,3,0.5161734433840759,0.37447139236470184,-0.02552860763529813,-0.4,0.3467572651138568,0.4,0.3552807105203413,0.023093963471002548,0.528,0.07348302988248587
9,power,static,RV,,4,0.5055430067429714,0.381504585391619,-0.018495414608381066,-0.4,0.27308067758068455,0.4,0.3317058196554078,0.023093963471002548,0.402,0.057585692455859594
9,power,static,RV,,5,0.5441650475806309,0.36824390147530367,-0.03175609852469628,-0.4,0.35381432453943573,0.4,0.4007561878292014,0.023093963471002548,0.472,0.08080728982192738
10,power,static,RV,,1,0.5612715405759255,0.3980400647584434,-0.0019599352415565897,-0.4,0.39105378642091215,0.4,0.3948671496965436,0.023093963471002548,0.506,0.0045239856997754705
10,power,static,RV,,2,0.5884285626713774,0.409972316797205,0.009972316797205,-0.4,0.3759801345874101,0.4,0.42089190463525694,0.023093963471002548,0.45,-0.02509241297085236
10,power,static,RV,,3,0.5800108602842935,0.40653454928370725,0.0065345492837072285,-0.4,0.39675530614187177,0.4,0.4115390533174062,0.023093963471002548,0.498,-0.019623288821158283
