rep,setting,assumption,hypothesis,method,lag,source_t,pvalue,reject,stat,statistic
0,power,static,H0,RV,,1,0.07973421926910298,1,0.5548814822329484,likelihood
0,power,static,H0,TWFE,,1,0.5687286950312587,0,0.14797567756461824,likelihood
0,power,static,H0,RV,,2,0.10631229235880399,0,1.9083524806490377,likelihood
0,power,static,H0,TWFE,,2,0.5687286950312587,0,0.14797567756461824,likelihood
0,power,static,H0,RV,,3,0.1362126245847176,0,1.3111054459845208,likelihood
0,power,static,H0,TWFE,,3,0.5687286950312587,0,0.14797567756461824,likelihood
0,power,static,H0,RV,,4,0.10631229235880399,0,1.0365931505855568,likelihood
0,power,static,H0,TWFE,,4,0.5687286950312587,0,0.14797567756461824,likelihood
0,power,static,H0,RV,,5,0.10299003322259136,0,0.9500043873345337,likelihood
0,power,static,H0,TWFE,,5,0.5687286950312587,0,0.14797567756461824,likelihood
1,power,static,H0,RV,,1,0.8039867109634552,0,-1.231162507519031,likelihood
1,power,static,H0,TWFE,,1,0.14899807967884593,0,-0.3689261282303454,likelihood
1,power,static,H0,RV,,2,0.7641196013289037,0,0.8228905484240834,likelihood
1,power,static,H0,TWFE,,2,0.14899807967884593,0,-0.3689261282303454,likelihood
1,power,static,H0,RV,,3,0.8338870431893688,0,-1.2281578744913555,likelihood
1,power,static,H0,TWFE,,3,0.14899807967884593,0,-0.3689261282303454,likelihood
1,power,static,H0,RV,,4,0.7840531561461794,0,-0.634727120586762,likelihood
1,power,static,H0,TWFE,,4,0.14899807967884593,0,-0.3689261282303454,likelihood
1,power,static,H0,RV,,5,0.7807308970099668,0,-0.703151158599481,likelihood
1,power,static,H0,TWFE,,5,0.14899807967884593,0,-0.3689261282303454,likelihood
2,power,static,H0,RV,,1,0.019933554817275746,1,1.7627918163063303,likelihood
2,power,static,H0,TWFE,,1,0.3726908755833319,0,-0.25858670232626096,likelihood
2,power,static,H0,RV,,2,0.0033222591362126247,1,5.721440599314096,likelihood
2,power,static,H0,TWFE,,2,0.3726908755833319,0,-0.25858670232626096,likelihood
2,power,static,H0,RV,,3,0.06312292358803986,1,1.214694669447222,likelihood
2,power,static,H0,TWFE,,3,0.3726908755833319,0,-0.25858670232626096,likelihood
2,power,static,H0,RV,,4,0.2823920265780731,0,-0.5578875803362606,likelihood
2,power,static,H0,TWFE,,4,0.3726908755833319,0,-0.25858670232626096,likelihood
2,power,static,H0,RV,,5,0.036544850498338874,1,2.2222498403186064,likelihood
2,power,static,H0,TWFE,,5,0.3726908755833319,0,-0.25858670232626096,likelihood
3,power,static,H0,RV,,1,0.16943521594684385,0,0.06454444699050557,likelihood
3,power,static,H0,TWFE,,1,0.3307433603490958,0,-0.3321093377229742,likelihood
3,power,static,H0,RV,,2,0.12956810631229235,0,0.5237314538520631,likelihood
3,power,static,H0,TWFE,,2,0.3307433603490958,0,-0.3321093377229742,likelihood
3,power,static,H0,RV,,3,0.15282392026578073,0,-0.22734603516152915,likelihood
3,power,static,H0,TWFE,,3,0.3307433603490958,0,-0.3321093377229742,likelihood
3,power,static,H0,RV,,4,0.2059800664451827,0,1.5134657167292667,likelihood
3,power,static,H0,TWFE,,4,0.3307433603490958,0,-0.3321093377229742,likelihood
3,power,static,H0,RV,,5,0.17275747508305647,0,0.3109383360313446,likelihood
3,power,static,H0,TWFE,,5,0.3307433603490958,0,-0.3321093377229742,likelihood
4,power,static,H0,RV,,1,0.22259136212624583,0,-0.9518861738671001,likelihood
4,power,static,H0,TWFE,,1,0.8327529277702372,0,-0.06205206933024509,likelihood
4,power,static,H0,RV,,2,0.2558139534883721,0,-0.22203152468111856,likelihood
4,power,static,H0,TWFE,,2,0.8327529277702372,0,-0.06205206933024509,likelihood
4,power,static,H0,RV,,3,0.17940199335548174,0,-0.5025544121187616,likelihood
4,power,static,H0,TWFE,,3,0.8327529277702372,0,-0.06205206933024509,likelihood
4,power,static,H0,RV,,4,0.04318936877076412,1,3.49430831031347,likelihood
4,power,static,H0,TWFE,,4,0.8327529277702372,0,-0.06205206933024509,likelihood
4,power,static,H0,RV,,5,0.07641196013289037,1,1.5896337595801084,likelihood
4,power,static,H0,TWFE,,5,0.8327529277702372,0,-0.06205206933024509,likelihood
5,power,static,H0,RV,,1,0.019933554817275746,1,0.46598672907538496,likelihood
5,power,static,H0,TWFE,,1,0.07325166437157656,1,-0.37217042318019367,likelihood
5,power,static,H0,RV,,2,0.2159468438538206,0,-0.6831834188393834,likelihood
5,power,static,H0,TWFE,,2,0.07325166437157656,1,-0.37217042318019367,likelihood
5,power,static,H0,RV,,3,0.0033222591362126247,1,2.3058476527304306,likelihood
5,power,static,H0,TWFE,,3,0.07325166437157656,1,-0.37217042318019367,likelihood
5,power,static,H0,RV,,4,0.016611295681063124,1,3.016852956282368,likelihood
5,power,static,H0,TWFE,,4,0.07325166437157656,1,-0.37217042318019367,likelihood
5,power,static,H0,RV,,5,0.029900332225913623,1,1.3836460607727066,likelihood
5,power,static,H0,TWFE,,5,0.07325166437157656,1,-0.37217042318019367,likelihood
6,power,static,H0,RV,,1,0.026578073089700997,1,0.37420490732308986,likelihood
6,power,static,H0,TWFE,,1,0.05143282032824266,1,-0.6080814422663472,likelihood
6,power,static,H0,RV,,2,0.006644518272425249,1,1.0059790510825115,likelihood
6,power,static,H0,TWFE,,2,0.05143282032824266,1,-0.6080814422663472,likelihood
6,power,static,H0,RV,,3,0.06976744186046512,1,0.6624557489790399,likelihood
6,power,static,H0,TWFE,,3,0.05143282032824266,1,-0.6080814422663472,likelihood
