rep,setting,assumption,method,stage,target,time,time_s,time_t,rmse,relative_rmse,bias,mae,corr,mean_est,mean_true,sd_est,sd_true
0,power,static,RV,mu,all_periods,,,,0.5709006775863468,0.08546756744144322,-0.005769885517930108,0.14025513262910985,0.9872808282499271,5.627104276680689,5.632874162198619,3.5540214568513204,3.5902067613069644
0,power,static,RV,mu,period_1,1.0,,,0.4934097139548696,0.0741901421443048,0.006626058607070359,0.14762076148771794,0.9902507335186866,5.635798058656144,5.629172000049073,3.5015562584771693,3.5416152027599055
0,power,static,RV,mu,period_2,2.0,,,0.18117219999234488,0.031747807682384034,-0.0030232302010877003,0.09912291700226052,0.9874960563450874,5.588616633030552,5.59163986323164,1.1023264923820186,1.139695117500541
0,power,static,RV,mu,period_3,3.0,,,0.16548611848470557,0.02936413667308483,-0.006002109168987085,0.0951262292422873,0.976891926559168,5.579784253518319,5.585786362687305,0.7730363394321035,0.7480563649215106
0,power,static,RV,mu,period_4,4.0,,,0.5052454846019544,0.07748600333230297,-0.013491015037891766,0.14934375662069418,0.9882005665202958,5.612201043514893,5.625692058552786,3.2690869472400315,3.2966911424964764
0,power,static,RV,mu,period_5,5.0,,,1.0347476752067915,0.1219282833990941,-0.012959131788754328,0.21006199879258938,0.9862451262917095,5.719121394683536,5.7320805264722905,6.195346857077262,6.258146227572376
0,power,static,RV,moment,diagonal_all,,,,0.049819674917385814,0.4191953305582297,-0.0487355230764707,0.0487355230764707,0.7214031907086901,0.06957554588752356,0.11831106896399428,0.014908373192234104,0.011262997541133852
0,power,static,RV,moment,diagonal_t1,1.0,,,0.0488864051637814,0.46345944088943214,-0.04841805311322069,0.04841805311322069,0.10168173853855149,0.05705034935886958,0.10546840247209027,0.006713952778497345,0.0016633195330273643
0,power,static,RV,moment,diagonal_t2,2.0,,,0.04735626183230454,0.3794792166827621,-0.046590473109782184,0.046590473109782184,0.3648441028184416,0.07814192910016411,0.12473240220994626,0.009089684132470835,0.003881078910397184
0,power,static,RV,moment,diagonal_t3,3.0,,,0.04568036061645882,0.3480803751757479,-0.04462006922560336,0.04462006922560336,-0.3658573096931861,0.08653366623029492,0.13115373545589823,0.007099082602752433,0.004620332036187123
0,power,static,RV,moment,diagonal_t4,4.0,,,0.05437374373075878,0.4357122982410344,-0.052721936983076,0.052721936983076,-0.885143854420522,0.07201046522687027,0.12473240220994626,0.009741938879820528,0.0038810789103971843
0,power,static,RV,moment,diagonal_t5,5.0,,,0.05229057798929821,0.4957321357034475,-0.05132708295067128,0.05132708295067128,-0.7143066629767063,0.05414131952141898,0.10546840247209024,0.00873559379889907,0.001663319533027366
1,power,static,RV,mu,all_periods,,,,0.5725335684168777,0.08571202188450493,0.01723023692985061,0.14627536666818514,0.9872164738507091,5.65010439912847,5.632874162198619,3.5517624143976136,3.5902067613069644
1,power,static,RV,mu,period_1,1.0,,,0.49357698606676653,0.07421529353757378,0.012326634929150166,0.15002618358130995,0.9902588852767744,5.641498634978224,5.629172000049073,3.5241496109406536,3.5416152027599055
