rep,assumption,subgroup,method,statistic,group_size,true_threshold,estimated_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf,mean_true_tau,mean_tau_hat,pvalue,reject,stat
0,static,effective_subgroup,RV,aipw,185,3.697167441221257,3.64092269256804,-0.05624474865321716,0.0,0.9459459459459459,1.0,40,10,-0.14189189189189186,-0.06678599008552141,0.0033222591362126247,1,-0.1531833730247339
0,static,null_subgroup,RV,aipw,315,3.697167441221257,3.64092269256804,-0.05624474865321716,0.0,0.9459459459459459,1.0,40,10,0.0,-0.0019357190237585243,0.7342192691029901,0,0.003106138745664725
1,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,40,-0.14914772727272724,-0.0748602902219808,0.0033222591362126247,1,-0.1540929691053401
1,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,40,0.0,0.0,0.11295681063122924,0,0.004498428116990992
2,static,effective_subgroup,RV,aipw,183,3.697167441221257,3.664889165162347,-0.032278276058910205,0.0,0.9562841530054644,1.0,40,10,-0.14344262295081966,-0.08184635621701859,0.0033222591362126247,1,-0.14971776227062633
2,static,null_subgroup,RV,aipw,317,3.697167441221257,3.664889165162347,-0.032278276058910205,0.0,0.9562841530054644,1.0,40,10,0.0,0.0,0.3023255813953488,0,0.0021706339333333346
3,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,-0.14914772727272724,-0.05402712510384638,0.0033222591362126247,1,-0.14591236353695594
3,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,0.0,0.00044882576612712135,0.8803986710963455,0,-0.0051068702690574225
4,static,effective_subgroup,RV,aipw,200,3.697167441221257,3.5686463868039384,-0.12852105441731876,0.0,0.875,1.0,40,10,-0.13124999999999998,-0.06900366884784191,0.0033222591362126247,1,-0.13133892045116682
4,static,null_subgroup,RV,aipw,300,3.697167441221257,3.5686463868039384,-0.12852105441731876,0.0,0.875,1.0,40,10,0.0,0.0004937434939054319,0.23920265780730898,0,0.0035176624031565294
5,static,effective_subgroup,RV,aipw,185,3.697167441221257,3.650664842211826,-0.04650259900943121,0.0,0.9459459459459459,1.0,80,10,-0.14189189189189186,-0.05647516815870809,0.0033222591362126247,1,-0.1315579013007822
5,static,null_subgroup,RV,aipw,315,3.697167441221257,3.650664842211826,-0.04650259900943121,0.0,0.9459459459459459,1.0,80,10,0.0,0.0008573386104221984,0.9966777408637874,0,-0.011979971532325004
6,static,effective_subgroup,RV,aipw,174,3.697167441221257,3.69937419120658,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,80,20,-0.15,-0.06543114925604727,0.0033222591362126247,1,-0.1532405691969453
6,static,null_subgroup,RV,aipw,326,3.697167441221257,3.69937419120658,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,80,20,-0.00046012269938650307,0.0002502108375389537,0.4053156146179402,0,0.0011278048628928904
7,static,effective_subgroup,RV,aipw,189,3.697167441221257,3.60484545850393,-0.09232198271732717,0.0,0.9259259259259259,1.0,100,10,-0.13888888888888887,-0.06042850689308581,0.0033222591362126247,1,-0.13507775228155589
7,static,null_subgroup,RV,aipw,311,3.697167441221257,3.60484545850393,-0.09232198271732717,0.0,0.9259259259259259,1.0,100,10,0.0,0.0,0.08970099667774087,1,0.0059073934445547874
8,static,effective_subgroup,RV,aipw,170,3.697167441221257,3.7111056128721,0.013938171650842879,0.015151515151515152,1.0,0.9714285714285714,40,10,-0.14999999999999997,-0.07489183792488362,0.0033222591362126247,1,-0.15754963385451612
8,static,null_subgroup,RV,aipw,330,3.697167441221257,3.7111056128721,0.013938171650842879,0.015151515151515152,1.0,0.9714285714285714,40,10,-0.0022727272727272726,-0.0029308100965728993,0.8338870431893688,0,0.004153277792908282
9,static,effective_subgroup,RV,aipw,318,3.697167441221257,2.81259038037613,-0.8845770608451273,0.0,0.550314465408805,1.0,40,10,-0.08254716981132075,-0.013119862402588231,0.0033222591362126247,1,-0.0711530379919391
9,static,null_subgroup,RV,aipw,182,3.697167441221257,2.81259038037613,-0.8845770608451273,0.0,0.550314465408805,1.0,40,10,0.0,0.0033167088930939185,0.46179401993355484,0,0.0008295172771494135
10,static,effective_subgroup,RV,aipw,193,3.697167441221257,3.58546149491545,-0.11170594630580721,0.0,0.9067357512953368,1.0,40,10,-0.1360103626943005,-0.0488488530396789,0.0033222591362126247,1,-0.1375654044523772
10,static,null_subgroup,RV,aipw,307,3.697167441221257,3.58546149491545,-0.11170594630580721,0.0,0.9067357512953368,1.0,40,10,0.0,0.00044386038713921616,0.6644518272425249,0,-0.0015301360048865717
11,static,effective_subgroup,RV,aipw,306,3.697167441221257,2.887835199630674,-0.809332241590583,0.0,0.5718954248366013,1.0,100,10,-0.0857843137254902,-0.021422685179427168,0.0033222591362126247,1,-0.08181657603127221
11,static,null_subgroup,RV,aipw,194,3.697167441221257,2.887835199630674,-0.809332241590583,0.0,0.5718954248366013,1.0,100,10,0.0,0.004432205000906124,0.18272425249169436,0,0.004506290248333721
12,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,40,-0.14914772727272724,-0.04807595764664901,0.0033222591362126247,1,-0.16064844988005972
12,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,40,0.0,0.0,0.10299003322259136,0,0.005093344746050857
13,static,effective_subgroup,RV,aipw,191,3.697167441221257,3.59747663064059,-0.09969081058066731,0.0,0.9162303664921466,1.0,100,10,-0.13743455497382198,-0.030362245857845797,0.0033222591362126247,1,-0.1445066054257953
13,static,null_subgroup,RV,aipw,309,3.697167441221257,3.59747663064059,-0.09969081058066731,0.0,0.9162303664921466,1.0,100,10,0.0,0.0,0.8272425249169435,0,-0.0036920754451417147
14,static,effective_subgroup,RV,aipw,210,3.697167441221257,3.5211875227119656,-0.17597991850929162,0.0,0.8333333333333334,1.0,40,10,-0.12499999999999997,-0.0511140351883027,0.0033222591362126247,1,-0.12741863013890833
14,static,null_subgroup,RV,aipw,290,3.697167441221257,3.5211875227119656,-0.17597991850929162,0.0,0.8333333333333334,1.0,40,10,0.0,0.0,0.521594684385382,0,-0.0002714682280916359
15,static,effective_subgroup,RV,aipw,172,3.697167441221257,3.7105088423269286,0.013341401105671391,0.009146341463414634,1.0,0.9828571428571429,40,10,-0.15,-0.06801221601530721,0.0033222591362126247,1,-0.16718785229660144
15,static,null_subgroup,RV,aipw,328,3.697167441221257,3.7105088423269286,0.013341401105671391,0.009146341463414634,1.0,0.9828571428571429,40,10,-0.001371951219512195,-0.0009411179358469387,0.6843853820598007,0,0.001866822778418007
16,static,effective_subgroup,RV,aipw,206,3.697167441221257,3.53298558915526,-0.164181852065997,0.0,0.8495145631067961,1.0,100,10,-0.12742718446601942,-0.046008443770305725,0.0033222591362126247,1,-0.14021437121535008
16,static,null_subgroup,RV,aipw,294,3.697167441221257,3.53298558915526,-0.164181852065997,0.0,0.8495145631067961,1.0,100,10,0.0,0.0,0.2159468438538206,0,0.003200215333563351
17,static,effective_subgroup,RV,aipw,189,3.697167441221257,3.60484545850393,-0.09232198271732717,0.0,0.9259259259259259,1.0,100,10,-0.13888888888888887,-0.04961394701645318,0.0033222591362126247,1,-0.14206155042928575
17,static,null_subgroup,RV,aipw,311,3.697167441221257,3.60484545850393,-0.09232198271732717,0.0,0.9259259259259259,1.0,100,10,0.0,0.0002003245396409859,0.7873754152823921,0,-0.00421110517720054
18,static,effective_subgroup,RV,aipw,175,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,100,40,-0.15,-0.05823701725294136,0.0033222591362126247,1,-0.1467591981771637
18,static,null_subgroup,RV,aipw,325,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,100,40,0.0,0.0,0.8704318936877077,0,-0.005328584638822814
19,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,100,10,-0.14914772727272724,-0.07167313941964924,0.0033222591362126247,1,-0.17179225617026467
19,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,100,10,0.0,0.0,0.9933554817275747,0,-0.009711379984994975
20,static,effective_subgroup,RV,aipw,178,3.697167441221257,3.693832197148408,-0.0033352440728493526,0.0,0.9831460674157303,1.0,40,10,-0.14747191011235952,-0.07134680462504386,0.0033222591362126247,1,-0.14452097080004703
20,static,null_subgroup,RV,aipw,322,3.697167441221257,3.693832197148408,-0.0033352440728493526,0.0,0.9831460674157303,1.0,40,10,0.0,-0.0039822826989434,0.046511627906976744,1,-0.006909099068010782
21,static,effective_subgroup,RV,aipw,260,3.697167441221257,3.16082289341958,-0.5363445478016771,0.0,0.6730769230769231,1.0,40,10,-0.10096153846153846,-0.05042509354292794,0.0033222591362126247,1,-0.09806461797476622
21,static,null_subgroup,RV,aipw,240,3.697167441221257,3.16082289341958,-0.5363445478016771,0.0,0.6730769230769231,1.0,40,10,0.0,0.004990849954594873,0.8039867109634552,0,-0.004384395498432272
22,static,effective_subgroup,RV,aipw,223,3.697167441221257,3.41759552747179,-0.279571913749467,0.0,0.7847533632286996,1.0,40,10,-0.11771300448430494,-0.02804214417725215,0.0033222591362126247,1,-0.11725758966248365
22,static,null_subgroup,RV,aipw,277,3.697167441221257,3.41759552747179,-0.279571913749467,0.0,0.7847533632286996,1.0,40,10,0.0,0.0037507363509624555,0.3754152823920266,0,0.0016318479595239508
23,static,effective_subgroup,RV,aipw,188,3.697167441221257,3.60644848013478,-0.09071896108647737,0.0,0.9308510638297872,1.0,80,10,-0.13962765957446807,-0.05645953433946316,0.0033222591362126247,1,-0.14407369803353873
23,static,null_subgroup,RV,aipw,312,3.697167441221257,3.60644848013478,-0.09071896108647737,0.0,0.9308510638297872,1.0,80,10,0.0,0.0008525236493483098,0.9800664451827242,0,-0.00724625060953446
24,static,effective_subgroup,RV,aipw,183,3.697167441221257,3.664376420444253,-0.03279102077700413,0.0,0.9562841530054644,1.0,100,10,-0.14344262295081966,-0.024559934146547148,0.0033222591362126247,1,-0.13897862988454193
24,static,null_subgroup,RV,aipw,317,3.697167441221257,3.664376420444253,-0.03279102077700413,0.0,0.9562841530054644,1.0,100,10,0.0,0.0,0.3654485049833887,0,0.0014427910614592328
25,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,-0.14914772727272724,-0.08515180402047068,0.0033222591362126247,1,-0.1698162121837658
25,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10,0.0,0.0,0.8039867109634552,0,-0.0031814258663658444
26,static,effective_subgroup,RV,aipw,179,3.697167441221257,3.6862706475998057,-0.010896793621451462,0.0,0.9776536312849162,1.0,40,10,-0.14664804469273743,-0.03870663209265954,0.0033222591362126247,1,-0.16295722908526172
26,static,null_subgroup,RV,aipw,321,3.697167441221257,3.6862706475998057,-0.010896793621451462,0.0,0.9776536312849162,1.0,40,10,0.0,-0.002584698548578803,0.3289036544850498,0,-0.002285115990188754
27,static,effective_subgroup,RV,aipw,181,3.697167441221257,3.6701042987876,-0.027063142433657372,0.0,0.9668508287292817,1.0,80,10,-0.14502762430939226,-0.07332422715682968,0.0033222591362126247,1,-0.15985550145294608
27,static,null_subgroup,RV,aipw,319,3.697167441221257,3.6701042987876,-0.027063142433657372,0.0,0.9668508287292817,1.0,80,10,0.0,-0.0003905647211117473,0.946843853820598,0,0.005905733761174653
28,static,effective_subgroup,RV,aipw,175,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,100,10,-0.15,-0.058208010594255365,0.0033222591362126247,1,-0.15048760730780722
28,static,null_subgroup,RV,aipw,325,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,100,10,0.0,0.0,0.5382059800664452,0,-0.000682332273910693
29,static,effective_subgroup,RV,aipw,194,3.697167441221257,3.584633292840736,-0.11253414838052134,0.0,0.9020618556701031,1.0,60,10,-0.13530927835051546,-0.045489542542457954,0.0033222591362126247,1,-0.1352660489145224
29,static,null_subgroup,RV,aipw,306,3.697167441221257,3.584633292840736,-0.11253414838052134,0.0,0.9020618556701031,1.0,60,10,0.0,-0.0006962114798759296,0.3754152823920266,0,-0.0014121441876536653
30,static,effective_subgroup,RV,aipw,177,3.697167441221257,3.69419032643251,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,10,-0.1483050847457627,-0.045463959372002836,0.0033222591362126247,1,-0.14005590445368665
30,static,null_subgroup,RV,aipw,323,3.697167441221257,3.69419032643251,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,10,0.0,0.0,0.16279069767441862,0,0.004366808241333406
31,static,effective_subgroup,RV,aipw,171,3.697167441221257,3.711076263689366,0.013908822468108983,0.0121580547112462,1.0,0.9771428571428571,40,20,-0.15,-0.055817821426137726,0.0033222591362126247,1,-0.15183234664544526
